Comunidad Autónoma,Provincia,REGISTRO,Municipio,Título,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Canarias-Tenerife,Canarias-Tenerife,Adeje,Adeje,Iglesia de Santa Ursula Mártir,Iglesia,True,Obispado de Tenerife,False
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Playa las Americas",Trozo de terreno en El Centro o Las Madrigueras,Terreno,False,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Valle San Lorenzo",Iglesia de San Lorenzo,Terreno,False,Obispado de Tenerife,False
Canarias-Tenerife,Canarias-Tenerife,Arona,Arona,Iglesia de San Antonio Abad,Terreno,False,Obispado de Tenerife,False
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Buzanada",Parcela de Terrreno,Terreno,False,Obispado de Tenerife,False
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Los Cristianos",Garaje,Sotano-garaje,False,Parroquia de Nuestra Señora del Carmen de Arona,True
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, El Fraile","Edificio, Locales y Vivienda",Terreno,False,Parroquia de Santa Isabel de Portugal,True
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Tunez",Terreno destinado a Iglesia y Plaza,Terreno,False,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Arona,"Arona, Cabo Blanco",Casa Parroquial e Iglesia San Martin de Porres,Terreno,False,Parroquia de San Martin de Porres de Caboblanco,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Vilaflor,"Parcela de terreno en C/ Gavilanes, 33",Iglesia,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Fasnia,Iglesia de Nuestra Señora del Carmen,Iglesia,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita San Isidro,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita Señor de la Cruz,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita Señor de La Cruz,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita de San Miguel,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Casa Parroquial en C/ Silvestre Marrero (Sabin) 2,Casa,False,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita del Calvario,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Iglesia Nuestra Señora de la Luz,Iglesia,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Ermita San José.,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Arico,Iglesia de San Juan Bautista y plaza,Iglesia,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,"Trozo de terreno en Mata, pago de San Isidro",Terreno,False,Diócesis de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,Ermita de Nuestra Señora de las Mercedes de Roja,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,Iglesia Nuestra Señora del Carmen,Iglesia,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,Ermita de Santa Ana,Ermita,True,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,"Parcela de terreno de uso residencial en Avda Mencey 51, en Charco del Pino",Terreno,False,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,"Parcela de terreno de uso residencial en C/ Chiñama, 5, Charco del Pino",Terreno,False,Obispado de Tenerife,True
Canarias-Tenerife,Canarias-Tenerife,Granadilla de Abona,Granadilla de Abona,Iglesia de San Antonio de Padua y plaza,Iglesia,True,Obispado de Tenerife,False
Canarias-Tenerife,Canarias-Tenerife,Guia de Isora,Guia de Isora,"Solar donde dicen Fonsalia, en Playa de San Juan",Zona de area libre,False,Obispado de Tenerife,True
