codigo_ine,nombre,nombre_oficial,provincia_codigo,activo
01001,Alegría-Dulantzi,Alegría-Dulantzi,01,True
01002,Amurrio,Amurrio,01,True
01003,Aramaio,Aramaio,01,True
01004,Artziniega,Artziniega,01,True
01006,Armiñón,Armiñón,01,True
01008,Arratzua-Ubarrundia,Arratzua-Ubarrundia,01,True
01009,Asparrena,Asparrena,01,True
01010,Ayala/Aiara,Ayala/Aiara,01,True
01011,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,01,True
01013,Barrundia,Barrundia,01,True
01014,Berantevilla,Berantevilla,01,True
01016,Bernedo,Bernedo,01,True
01017,Campezo/Kanpezu,Campezo/Kanpezu,01,True
01018,Zigoitia,Zigoitia,01,True
01019,Kripan,Kripan,01,True
01020,Kuartango,Kuartango,01,True
01021,Elburgo/Burgelu,Elburgo/Burgelu,01,True
01022,Elciego,Elciego,01,True
01023,Elvillar/Bilar,Elvillar/Bilar,01,True
01027,Iruraiz-Gauna,Iruraiz-Gauna,01,True
01028,Labastida/Bastida,Labastida/Bastida,01,True
01030,Lagrán,Lagrán,01,True
01031,Laguardia,Laguardia,01,True
01032,Lanciego/Lantziego,Lanciego/Lantziego,01,True
01033,Lapuebla de Labarca,Lapuebla de Labarca,01,True
01034,Leza,Leza,01,True
01036,Laudio/Llodio,Laudio/Llodio,01,True
01037,Arraia-Maeztu,Arraia-Maeztu,01,True
01039,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,01,True
01041,Navaridas,Navaridas,01,True
01042,Okondo,Okondo,01,True
01043,Oyón-Oion,Oyón-Oion,01,True
01044,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,01,True
01046,Erriberagoitia/Ribera Alta,Erriberagoitia/Ribera Alta,01,True
01047,Ribera Baja/Erriberabeitia,Ribera Baja/Erriberabeitia,01,True
01049,Añana,Añana,01,True
01051,Agurain/Salvatierra,Agurain/Salvatierra,01,True
01052,Samaniego,Samaniego,01,True
01053,San Millán/Donemiliaga,San Millán/Donemiliaga,01,True
01054,Urkabustaiz,Urkabustaiz,01,True
01055,Valdegovía/Gaubea,Valdegovía/Gaubea,01,True
01056,Harana/Valle de Arana,Harana/Valle de Arana,01,True
01057,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,01,True
01058,Legutio,Legutio,01,True
01059,Vitoria-Gasteiz,Vitoria-Gasteiz,01,True
01060,Yécora/Iekora,Yécora/Iekora,01,True
01061,Zalduondo,Zalduondo,01,True
01062,Zambrana,Zambrana,01,True
01063,Zuia,Zuia,01,True
01901,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,01,True
01902,Lantarón,Lantarón,01,True
02001,Abengibre,Abengibre,02,True
02002,Alatoz,Alatoz,02,True
02003,Albacete,Albacete,02,True
02004,Albatana,Albatana,02,True
02005,Alborea,Alborea,02,True
02006,Alcadozo,Alcadozo,02,True
02007,Alcalá del Júcar,Alcalá del Júcar,02,True
02008,Alcaraz,Alcaraz,02,True
02009,Almansa,Almansa,02,True
02010,Alpera,Alpera,02,True
02011,Ayna,Ayna,02,True
02012,Balazote,Balazote,02,True
02013,Balsa de Ves,Balsa de Ves,02,True
02014,"Ballestero, El","Ballestero, El",02,True
02015,Barrax,Barrax,02,True
02016,Bienservida,Bienservida,02,True
02017,Bogarra,Bogarra,02,True
02018,Bonete,Bonete,02,True
02019,"Bonillo, El","Bonillo, El",02,True
02020,Carcelén,Carcelén,02,True
02021,Casas de Juan Núñez,Casas de Juan Núñez,02,True
02022,Casas de Lázaro,Casas de Lázaro,02,True
02023,Casas de Ves,Casas de Ves,02,True
02024,Casas-Ibáñez,Casas-Ibáñez,02,True
02025,Caudete,Caudete,02,True
02026,Cenizate,Cenizate,02,True
02027,Corral-Rubio,Corral-Rubio,02,True
02028,Cotillas,Cotillas,02,True
02029,Chinchilla de Monte-Aragón,Chinchilla de Monte-Aragón,02,True
02030,Elche de la Sierra,Elche de la Sierra,02,True
02031,Férez,Férez,02,True
02032,Fuensanta,Fuensanta,02,True
02033,Fuente-Álamo,Fuente-Álamo,02,True
02034,Fuentealbilla,Fuentealbilla,02,True
02035,"Gineta, La","Gineta, La",02,True
02036,Golosalvo,Golosalvo,02,True
02037,Hellín,Hellín,02,True
02038,"Herrera, La","Herrera, La",02,True
02039,Higueruela,Higueruela,02,True
02040,Hoya-Gonzalo,Hoya-Gonzalo,02,True
02041,Jorquera,Jorquera,02,True
02042,Letur,Letur,02,True
02043,Lezuza,Lezuza,02,True
02044,Liétor,Liétor,02,True
02045,Madrigueras,Madrigueras,02,True
02046,Mahora,Mahora,02,True
02047,Masegoso,Masegoso,02,True
02048,Minaya,Minaya,02,True
02049,Molinicos,Molinicos,02,True
02050,Montalvos,Montalvos,02,True
02051,Montealegre del Castillo,Montealegre del Castillo,02,True
02052,Motilleja,Motilleja,02,True
02053,Munera,Munera,02,True
02054,Navas de Jorquera,Navas de Jorquera,02,True
02055,Nerpio,Nerpio,02,True
02056,Ontur,Ontur,02,True
02057,Ossa de Montiel,Ossa de Montiel,02,True
02058,Paterna del Madera,Paterna del Madera,02,True
02059,Peñascosa,Peñascosa,02,True
02060,Peñas de San Pedro,Peñas de San Pedro,02,True
02061,Pétrola,Pétrola,02,True
02062,Povedilla,Povedilla,02,True
02063,Pozohondo,Pozohondo,02,True
02064,Pozo-Lorente,Pozo-Lorente,02,True
02065,Pozuelo,Pozuelo,02,True
02066,"Recueja, La","Recueja, La",02,True
02067,Riópar,Riópar,02,True
02068,Robledo,Robledo,02,True
02069,"Roda, La","Roda, La",02,True
02070,Salobre,Salobre,02,True
02071,San Pedro,San Pedro,02,True
02072,Socovos,Socovos,02,True
02073,Tarazona de la Mancha,Tarazona de la Mancha,02,True
02074,Tobarra,Tobarra,02,True
02075,Valdeganga,Valdeganga,02,True
02076,Vianos,Vianos,02,True
02077,Villa de Ves,Villa de Ves,02,True
