Localidad,Provincia,CCAA,Clave ACT,Clave GRU,NIF,Entidad financiada 
Panamá,Panamá,AME,AS,EC,9428526,Sociedad Española de Beneficencia
Venezuela,Venezuela,AME,AS,OR,7600022690,Hogar de Ancianos Santa Susana
Venezuela,Venezuela,AME,AS,OR,63000346852,Siervas de San José - Hogar
Venezuela,Venezuela,AME,AS,OR,76000379653,Hogar de Ancianos San Francisco de Paula
Venezuela,Venezuela,AME,AS,OR,76000382864,Hogar de Ancianos Santo Venia
Buenos Aires,Argentina,AME,AS,OR,ARG/BUE-0002,Hermanitas Ancianos Desamparados Hogar Santa Teresa
Buenos Aires,Argentina,AME,AS,OR,ARG/BUE-0003,Hermanitas Ancianos Desamparados Hogar Bottaro
Buenos Aires,Argentina,AME,AS,OR,ARG/BUE-0006,Hermanas Hospitalarias del SCJ.
Córdoba,Argentina,AME,AS,OR,ARG/COR-0003,Hermanitas Ancianos Desamparados
Madrid,Madrid,MAD,Z,ID,A28281368,Cadena COPE
Burriana,Castellón,VAL,ED,OR,B12713418,Gestión de Centros Católicos
Valencia,Valencia,VAL,ED,OR,B12713418,Gestión de Centros Católicos
Pamplona,Navarra,NAV,AS,EC,B71357362,Traperos de Emaus
Pamplona,Navarra,NAV,AS,EC,B71357362,Emaus
Santiago,Chile,AME,UC,ID,CL816989000,Universidad Católica de Chile
La Habana,Cuba,AME,AS,OR,CUB/HAB-0001,Siervas de María Ministras de Enfermos en Camaguey
La Habana,Cuba,AME,AS,OR,CUB/HAB-0003,Siervas de María Ministras de Enfermos en Holguin
La Habana,Cuba,AME,AS,OR,CUB/HAB-0004,Hermanitas Ancianos Desamparados Hogar Santovenia
La Habana,Cuba,AME,AS,OR,CUB/HAB-0005,Hermanitas Ancianos Desamparados Hogar S. Teresa
La Habana,Cuba,AME,AS,OR,CUB/HAB-0006,Siervas de María Ministras de Enfermos en Matanzas
La Habana,Cuba,AME,AS,OR,CUB/HAB-0007,Siervas de María Ministras de Enfermos en La Habana
Quito,Ecuador,AME,AS,OR,ECU/QUI-0001,Hogar Corazón de María
Quito,Ecuador,AME,AS,OR,ECU/QUI-0002,San Juan de Dios - Orden Hospitalaria Albergue
Quito,Ecuador,AME,AS,EV,ECU/QUI-0003,Fundación Remar
Cahegín,Murcia,MUR,ED,EC,F30081889,Colegio N. Sra. de las Maravillas
Valencia,Valencia,VAL,ED,ID,F46241253,Colegio Parroquial San José de la Montaña
Vitoria,Álava,EUS,ED,OR,G01014000,Escolapios - Colegio Calasanz
Vitoria,Álava,EUS,AS,EC,G01016500,Teléfono de la Esperanza
Vitoria,Álava,EUS,ED,OR,G01018191,Mercedarias Misioneras - APA Colegio Vera Cruz
Vitoria,Álava,EUS,ED,OR,G01023035,Ursulinas - APA Colegio 
Vitoria,Álava,EUS,ED,OR,G01025030,Hijas de la Inmaculada Concepción - AMPA Colegio
Vitoria,Álava,EUS,ED,OR,G01025089,Carmelitas - APA Colegio Sagrado Corazón
