Número de Inscripción,Número de Inscripción Antiguo,Sección,Nombre,Nombre Genérico,Fecha de Inscripción,Tipo de Entidad,Confesión,Subconfesión,Ámbito,Domicilio,Poblacion,Provincia,Codigo Postal,Comunidad Autónoma,Web,Representantes legales,Federaciones
7941,1245-b/1-SE/B,Sección Especial (Católicas),	ASILO DE ANCIANOS	,	HERMANITAS DE LOS POBRES	,19820719,CASA,CATÓLICOS, ,MADRID,"JUANA JUGAN, 1",VITORIA,ÁLAVA,0.0,PAIS VASCO,www.hermanitasdelospobres.es,"CELESTE DA CONCEIÇAO DOS SANTOS FERNANDES, ANTONIA CASTILLO MOLINA, GLORIA MARLENE BASCUR ERICES, SOLEDAD RODRIGUEZ RUIZ",
7653,1231-/1-SE/B,Sección Especial (Católicas),	CASA C. INMACULADA CONCEPCION	,	HIJAS DE LA INMACULADA CONCEPCION DE BUENOS AIRES	,19820712,CASA,CATÓLICOS, ,PAIS VASCO,"PLAZA UNO DE MAYO, 3",VITORIA-GASTEIZ,ÁLAVA,1013.0,PAIS VASCO,,MARIA DOLORES PÉREZ DE ANUNCIATA BALZA DE VALLEJO,
9095,1336-a/3-SE/B,Sección Especial (Católicas),	CASA COLEGIO DE LA VERA CRUZ	,	MERCEDARIAS MISIONERAS DE BERRIZ	,19900628,CASA,CATÓLICOS, ,MADRID,"FRAY FRANCISCO, 15",VITORIA,ÁLAVA,0.0,PAIS VASCO,,"ICIAR ALFARO MERUELO, MARIA REYES RODRIGUEZ GARCIA, MERCEDES LASARTE BILBAO",
3999,915-d/2-SE/B,Sección Especial (Católicas),	CASA DE LA CONGREGACION	,	CONGREGACION DE LA PASION DE JESUCRISTO (PP. PASIONISTAS)	,19820505,CASA,CATÓLICOS, ,MADRID,SANTUARIO DE NUESTRA SEÑORA DE ANGOSTO,VILLANAÑE,ÁLAVA,0.0,PAIS VASCO,,"PABLO GONZALO HERNANDEZ, JUAN MANUEL BENITO MARTIN, MIKEL GOTZON AZAOLA LOPEZ DE GEREÑO",
4004,915-d/1-SE/B,Sección Especial (Católicas),	CASA DE LA CONGREGACION	,	CONGREGACION DE LA PASION DE JESUCRISTO (PP. PASIONISTAS)	,19820505,CASA,CATÓLICOS, ,MADRID,"NIEVES CANO, 55",VITORIA,ÁLAVA,0.0,PAIS VASCO,,"JOSE MARIA ARZALLUZ, RAMON GURTUBAY ZUAZO",
8881,1334-i/16-SE/B,Sección Especial (Católicas),	CASA DE LA CONGREGACION	,	HERMANITOS DE MARIA O  HERMANOS MARISTAS DE LA ENSEÑANZA (HH. MARISTAS)	,20040130,CASA,CATÓLICOS, ,MADRID,"ARTEA, 1 (MENDIETA)",ARTZINIEGA,ÁLAVA,1474.0,PAIS VASCO,,"JOSE ABEL MUÑOZ GUTIERREZ, ALFONSO FERNANDEZ GARCIA, JAIME COMABELLA CALLIZO, EDUARDO LOPEZ GALLO, ALEJANDRO MENA GOLDARAZ",
3502,816-/1-SE/B,Sección Especial (Católicas),	CASA DE LA CONGREGACION	,	PRESENTACION DE MARIA	,19820414,CASA,CATÓLICOS, ,PAIS VASCO,"CRUZ BLANCA, 6",VITORIA,ÁLAVA,0.0,PAIS VASCO,,"MARIA DEL MAR FERNANDEZ CAVADA, MARIA TERESA FERNANDEZ DOMINGUEZ, MARIA JESUS MOLINA CASTILLEJO",
9741,1399-/3-SE/B,Sección Especial (Católicas),	CASA DE LA CONGREGACION	,	SIERVAS DE JESUS DE LA CARIDAD	,19820915,CASA,CATÓLICOS, ,PAIS VASCO,"FUNDADORA DE LAS SIERVAS DE JESUS, 21",VITORIA,ÁLAVA,0.0,PAIS VASCO,,"ROSALINA SANCHEZ GUTIERREZ, LEONOR ANTON POZA, SOCORRO MARTINEZ ROMO",
10220,1432-d/27-SE/B,Sección Especial (Católicas),	CASA DE NUESTRA SEÑORA DE LOS ANGELES	,	ORDEN DE PREDICADORES (PADRES DOMINICOS)	,20040721,CASA,CATÓLICOS, ,MADRID,"BASTITURRI, 4",VITORIA,ÁLAVA,0.0,PAIS VASCO,,"CARLOS OLORIZ LARRAGUETA, HILARIO PROVECHO ALVAREZ",
11274,1541-/19-SE/B,Sección Especial (Católicas),	CASA DEL INSTITUTO	,	INSTITUTO SECULAR ALIANZA EN JESUS POR MARIA	,19901212,CASA,CATÓLICOS, ,MADRID,"FLORIDA, 53 B, 2º",VITORIA,ÁLAVA,0.0,PAIS VASCO,,,
