codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp,nif,numero_registro,fecha_extincion,fecha_constitucion,fecha_inscripcion,domicilio,localidad,codigo_postal,provincia_detalle,telefono,fax,email,web,fecha_extraccion
20,Gipuzkoa,RESPETO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14831&index=1&lang=es_ES,=14831,2026-01-27T18:50:55.825943,G84429042,706CUL,,20/06/2005,26/04/2006,"C/ Peña y Goñi, nº 9, 4º izda",San Sebastian,20002,Guipúzcoa,,,,,2026-01-27T19:11:07.771553
20,Gipuzkoa,LABORAL AYMA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15911&index=1&lang=es_ES,=15911,2026-01-27T18:50:55.846832,,13EMP,,21/04/1978,21/04/1978,"C/ Piedad, 24",Zumárraga,20700,Guipúzcoa,943729070,,,,2026-01-27T19:11:09.356529
20,Gipuzkoa,ZULUETA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16250&index=1&lang=es_ES,=16250,2026-01-27T18:50:55.857014,G20611356,265SND,,24/11/1997,03/07/1998,"C/Zubieta, 12",San Sebastián,20007,Guipúzcoa,,,,,2026-01-27T19:11:10.968031
20,Gipuzkoa,ASCODEL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16251&index=1&lang=es_ES,=16251,2026-01-27T18:50:55.877624,G20863478,266SND,,31/12/2004,06/04/2005,"Avda. de Ategorrieta, 9 - 3º dcha",San Sebastián,20013,Guipúzcoa,,,ascodel@ascodel.org,,2026-01-27T19:11:12.544250
20,Gipuzkoa,TXEMA ELORZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16252&index=1&lang=es_ES,=16252,2026-01-27T18:50:55.900661,G20962551,267SND,,30/11/2007,03/06/2008,"Plaza Anzarán, 11 Trasera",Irún,20301,Guipúzcoa,943632239,,,,2026-01-27T19:11:14.411224
20,Gipuzkoa,ETIOPIAUTOPIA FUNDAZIOA TIKAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16253&index=1&lang=es_ES,=16253,2026-01-27T18:50:55.919287,G75005926,268SND,,20/07/2009,08/09/2009,"Paseo Mikeletegui, 53 - E . 2ª (Parque Tecnológico de San Sebastián)",Donostia- San Sebastián,20009,Guipúzcoa,,,,,2026-01-27T19:11:16.857672
20,Gipuzkoa,LA SONRISA DE LA ESPERANZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17973&index=1&lang=es_ES,=17973,2026-01-27T18:50:55.939775,G75192641,2072JUS,,05/01/2018,11/07/2018,"Paseo Federico García Lorca nº 7, Local 6",Donostia-San Sebastián,20014,Guipúzcoa,943431543,,,,2026-01-27T19:11:18.503272
20,Gipuzkoa,DELEGACION DE PAISAIA EUROPEAN LANDSCAPE FOUNDATION LTD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18535&index=1&lang=es_ES,=18535,2026-01-27T18:50:55.963075,W0086792I,2702JUS,,09/04/2021,24/03/2023,"Calle Altzo Muino, 73",Altzo,20268,Guipúzcoa,,,,,2026-01-27T19:11:19.949149
20,Gipuzkoa,JASON,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18873&index=1&lang=es_ES,=18873,2026-01-27T18:50:55.985538,G98637507,2956JUS,,29/04/2014,14/11/2024,"Pº de Heriz, 95",San Sebastián,20008,Guipúzcoa,,,,,2026-01-27T19:11:21.603921
21,Huelva,JUAN MANUEL FLORES JIMENO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3447&index=1&lang=es_ES,=3447,2026-01-27T18:50:59.465902,G21275318,438EDU,,25/02/1999,29/03/1999,"Avenida Martín Alonso Pinzón, 10",Huelva,21003,Huelva,959282815,959282815,fundacionjmfj@terra.com,http://www.fundacionjmfj.com,2026-01-27T19:11:23.146223
21,Huelva,CEREBRO Y SALUD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5567&index=1&lang=es_ES,=5567,2026-01-27T18:50:59.485696,G21493275,1334CIN,,03/11/2010,11/02/2011,"Avenida de Madrid, 3 - portal 5 - 1º C",Huelva,21001,Huelva,959285812,,,,2026-01-27T19:11:24.831473
21,Huelva,SOCIAL Y CULTURAL DE LA CAJA RURAL DEL SUR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14425&index=1&lang=es_ES,=14425,2026-01-27T18:50:59.500939,G21344080,508CUL,,29/10/2002,19/12/2002,"C/. Alcalde Mora Claros, nº 6, puerta A",Huelva,21001,Huelva,959252548,959280842,fundacion.3187@cajarural.com,,2026-01-27T19:11:27.111236
21,Huelva,VALDOCCO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16254&index=1&lang=es_ES,=16254,2026-01-27T18:50:59.516149,G21210000,269SND,,16/01/1995,16/07/1996,"C/Gladiolo,s/n Bda.del Torrejón",Huelva,21005,Huelva,959545013,959153164,valdocco@valdocco.org,,2026-01-27T19:11:29.109862
21,Huelva,COLUMBA PACIS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16255&index=1&lang=es_ES,=16255,2026-01-27T18:50:59.531639,G21366430,270SND,,21/10/2003,17/12/2003,"C/Reynols, 45 sector G",Matalascañas,21760,Huelva,959441813,959441813,presidente@columbapacis.org,http://www.columbapacis.org,2026-01-27T19:11:30.849842
21,Huelva,DOCTOR D. MANUEL NIETO BARRERA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16256&index=1&lang=es_ES,=16256,2026-01-27T18:50:59.546509,G21424460,271SND,,26/07/2006,12/01/2007,"Avda. Martín Alonso Pinzón, 15 - entreplanta 13",Huelva,21003,Huelva,,,,,2026-01-27T19:11:32.411082
21,Huelva,DON CRISTOBAL DIAZ ALVAREZ,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16257&index=1&lang=es_ES,=16257,2026-01-27T18:50:59.566496,G21436167,272SND,,11/04/2007,19/07/2007,"c/ Lagunita, s/n",La Zarza,21310,Huelva,,,,,2026-01-27T19:11:34.014309
21,Huelva,PARA TRABAJADORES EXTRANJEROS EN HUELVA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16258&index=1&lang=es_ES,=16258,2026-01-27T18:50:59.582096,G21452958,273SND,,12/02/2008,27/06/2008,"Residencia Tariquejos, carretera HU-3401 - Km. 7,5",Cartaya,21450,Huelva,,959096266,fundacionfuteh@gmail.com,,2026-01-27T19:11:36.005689
21,Huelva,EUROPEA PARA LA COOPERACION NORTE-SUR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16259&index=1&lang=es_ES,=16259,2026-01-27T18:50:59.601291,G91243998,274SND,,30/08/2002,23/06/2003,"C/ Pérez Galdós, 106",Huelva,21002,Huelva,959285378,,,,2026-01-27T19:11:37.708408
21,Huelva,"CARIDAD, INFANCIA Y DESARROLLO",https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17215&index=1&lang=es_ES,=17215,2026-01-27T18:50:59.619429,G91803304,1230SND,,05/03/2009,29/05/2009,"Avda.Cristóbal Colón, 39. Fase 3.1, Casa 10",El Portil,21459,Huelva,649547862,,fundacion@fundacioncaridadinfancia.org,http://www.fundacioncaridadinfancia.org,2026-01-27T19:11:39.364629
21,Huelva,PRENAUTA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17914&index=1&lang=es_ES,=17914,2026-01-27T18:50:59.639861,G21575493,2006JUS,,20/12/2016,07/02/2018,"CALLE SALVADOR, Nº 17",HUELVA,21003,Huelva,678635814,,,,2026-01-27T19:11:41.065038
21,Huelva,ALMANATURA FUNDACION PARA LA REACTIVACION RURAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18340&index=1&lang=es_ES,=18340,2026-01-27T18:50:59.656046,G21613880,2366JUS,,12/05/2020,04/03/2021,"C/ Grande Trasera, nº 6",Arroyomolinos de León,21280,Huelva,660057868,,,,2026-01-27T19:11:42.759994
22,Huesca,DEPORTE SOLIDARIO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5136&index=1&lang=es_ES,=5136,2026-01-27T18:51:03.026186,G24555898,1019EDU,,21/03/2007,21/01/2008,"Urbanización Formigal. Edificio Montesquí, bajo",Sallent de Gallego,22640,Huesca,675662613,,fundaciondeportesolidario@hotmail.com,,2026-01-27T19:11:44.540279
22,Huesca,GARCÍA - ESTEBAN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15542&index=1&lang=es_ES,=15542,2026-01-27T18:51:03.040821,G22374953,1501CUL,,19/06/2012,04/09/2012,"Urbanización Parque de Guara, 132",Nueno,22193,Huesca,974271043,,rapelu@gmail.com,http://www.duogarciaesteban.com,2026-01-27T19:11:46.264091
22,Huesca,PODOACTIVA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15612&index=1&lang=es_ES,=15612,2026-01-27T18:51:03.054227,G22381404,1575EDU,,15/02/2013,24/06/2013,"Parque Tecnológico Walqa Carretera nacional 330A, Km. 566- Edificio Podoactiva",Cuarte,22197,Huesca,,,,,2026-01-27T19:11:47.873862
22,Huesca,CASA AMPARO DE BARBASTRO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16260&index=1&lang=es_ES,=16260,2026-01-27T18:51:03.069874,G22008007,275SND,,01/01/1767,14/02/1905,"Avda. San Josemaría Escrivá, 1",Barbastro,22300,Huesca,974310298,974316029,casaamparo@grupo7.com,,2026-01-27T19:11:49.917453
