codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp
01,Araba/Álava,PAPELES DE ERMUA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14197&index=1&lang=es_ES,=14197,2026-01-27T18:49:41.517791
01,Araba/Álava,KALEIDOS.RED,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14235&index=1&lang=es_ES,=14235,2026-01-27T18:49:41.539463
01,Araba/Álava,CENTRO PARA LA MEMORIA DE LAS VÍCTIMAS DEL TERRORISMO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15882&index=1&lang=es_ES,=15882,2026-01-27T18:49:41.568803
01,Araba/Álava,SOCIALBID,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16960&index=1&lang=es_ES,=16960,2026-01-27T18:49:41.595482
01,Araba/Álava,PARA LA CREACION E INVESTIGACION EN COMIC. EL ARTE DE VOLAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18446&index=1&lang=es_ES,=18446,2026-01-27T18:49:41.615294
02,Albacete,PARA LA FORMACIÓN PROFESIONAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4513&index=1&lang=es_ES,=4513,2026-01-27T18:49:45.082483
02,Albacete,GLOBALCAJA HORIZONTE XXII,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5324&index=1&lang=es_ES,=5324,2026-01-27T18:49:45.103860
02,Albacete,GLOBALCAJA ALBACETE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5447&index=1&lang=es_ES,=5447,2026-01-27T18:49:45.125567
02,Albacete,"PARA EL DESARROLLO Y LA INVESTIGACIÓN BIOSANITARIA, TECNOLÓGICA Y CULTURAL (BIOTYC)",https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5613&index=1&lang=es_ES,=5613,2026-01-27T18:49:45.140090
02,Albacete,CULTURAL MARCIANA Y RODOLFO PUERTAS RAMOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14643&index=1&lang=es_ES,=14643,2026-01-27T18:49:45.148372
02,Albacete,AUNO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15175&index=1&lang=es_ES,=15175,2026-01-27T18:49:45.169053
02,Albacete,BASTETANIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15330&index=1&lang=es_ES,=15330,2026-01-27T18:49:45.179542
02,Albacete,FESTIVAL INTERNACIONAL DE MÚSICA DE ALMANSA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15341&index=1&lang=es_ES,=15341,2026-01-27T18:49:45.203104
02,Albacete,SCOUTS EN ACCIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15563&index=1&lang=es_ES,=15563,2026-01-27T18:49:45.210568
02,Albacete,YIREH ESPAÑA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15987&index=1&lang=es_ES,=15987,2026-01-27T18:49:45.231360
02,Albacete,VITAKID,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15989&index=1&lang=es_ES,=15989,2026-01-27T18:49:45.241449
02,Albacete,+ ÁRBOLES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17410&index=1&lang=es_ES,=17410,2026-01-27T18:49:45.261962
02,Albacete,Alma Animal,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17495&index=1&lang=es_ES,=17495,2026-01-27T18:49:45.272410
02,Albacete,"PARA EL DESARROLLO DE LA INVESTIGACIÓN, LA DOCENCIA Y PROMOCIÓN DE LA SALUD CARDIOVASCULAR (FUNDACIÓN PROCARDIO)",https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17839&index=1&lang=es_ES,=17839,2026-01-27T18:49:45.287092
02,Albacete,AMIGOS DE NONO CONTRA LA ENFERMEDAD DE MENKES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17833&index=1&lang=es_ES,=17833,2026-01-27T18:49:45.303451
02,Albacete,CONCILIA2,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18294&index=1&lang=es_ES,=18294,2026-01-27T18:49:45.318598
02,Albacete,GLOBALCAJA DESARROLLOS AGROALIMENTARIOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18368&index=1&lang=es_ES,=18368,2026-01-27T18:49:45.333984
02,Albacete,SOCIEDAD DE CONCIERTOS DE ALBACETE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18721&index=1&lang=es_ES,=18721,2026-01-27T18:49:45.349733
02,Albacete,ACEPAIN CONTRA EL CANCER,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18801&index=1&lang=es_ES,=18801,2026-01-27T18:49:45.365951
02,Albacete,CANTERO DE LETUR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=19273&index=1&lang=es_ES,=19273,2026-01-27T18:49:45.376282
03,Alicante/Alacant,FICIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2201&index=1&lang=es_ES,=2201,2026-01-27T18:49:48.965757
03,Alicante/Alacant,PEDRO FERRÁNDIZ,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2351&index=1&lang=es_ES,=2351,2026-01-27T18:49:48.976132
03,Alicante/Alacant,WORLD IMPACT MINISTRIES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3420&index=1&lang=es_ES,=3420,2026-01-27T18:49:48.996792
03,Alicante/Alacant,VALENCIANA DE REUMATOLOGÍA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3423&index=1&lang=es_ES,=3423,2026-01-27T18:49:49.008135
03,Alicante/Alacant,CIENTÍFICA CAMPAGNE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4048&index=1&lang=es_ES,=4048,2026-01-27T18:49:49.029917
03,Alicante/Alacant,MORRIS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4134&index=1&lang=es_ES,=4134,2026-01-27T18:49:49.040050
03,Alicante/Alacant,CIENCIAS SOCIALES Y MUNDO MEDITERRÁNEO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4183&index=1&lang=es_ES,=4183,2026-01-27T18:49:49.058993
03,Alicante/Alacant,IKERTU,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4335&index=1&lang=es_ES,=4335,2026-01-27T18:49:49.077135
03,Alicante/Alacant,INICIATIVA SOCIAL EN EDUCACIÓN Y FAMILIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4723&index=1&lang=es_ES,=4723,2026-01-27T18:49:49.094683
03,Alicante/Alacant,VILLAS DEL MAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4753&index=1&lang=es_ES,=4753,2026-01-27T18:49:49.110821
03,Alicante/Alacant,ENSEÑANZA Y FORMACIÓN PARA EL EMPLEO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4789&index=1&lang=es_ES,=4789,2026-01-27T18:49:49.128916
03,Alicante/Alacant,DE GERIATRÍA JOSÉ MARÍA GÓMEZ-REINO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4916&index=1&lang=es_ES,=4916,2026-01-27T18:49:49.147905
03,Alicante/Alacant,RAFAEL BERNABEU OBRA SOCIAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5036&index=1&lang=es_ES,=5036,2026-01-27T18:49:49.166429
03,Alicante/Alacant,RIVIERA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5054&index=1&lang=es_ES,=5054,2026-01-27T18:49:49.184781
03,Alicante/Alacant,DE CICLISMO BENICADELL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5109&index=1&lang=es_ES,=5109,2026-01-27T18:49:49.202892
03,Alicante/Alacant,DEBLA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5265&index=1&lang=es_ES,=5265,2026-01-27T18:49:49.213898
03,Alicante/Alacant,FÚTBOL BASE DE EL CAMPELLO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5302&index=1&lang=es_ES,=5302,2026-01-27T18:49:49.237634
03,Alicante/Alacant,CIUDAD DEL FÚTBOL BENIDORM,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5363&index=1&lang=es_ES,=5363,2026-01-27T18:49:49.247676
03,Alicante/Alacant,GLOBALÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5450&index=1&lang=es_ES,=5450,2026-01-27T18:49:49.268799
03,Alicante/Alacant,GENÉTICA Y SALUD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5545&index=1&lang=es_ES,=5545,2026-01-27T18:49:49.283847
03,Alicante/Alacant,PARA EL FOMENTO DE LA EQUITACIÓN DEPORTIVA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5550&index=1&lang=es_ES,=5550,2026-01-27T18:49:49.296454
03,Alicante/Alacant,INSTITUTO EUROPEO PARA EL ESTUDIO DE LA LONGEVIDAD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5614&index=1&lang=es_ES,=5614,2026-01-27T18:49:49.312198
03,Alicante/Alacant,FAIR PLAY PARA EL DESARROLLO Y FOMENTO DEL FÚTBOL BASE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5621&index=1&lang=es_ES,=5621,2026-01-27T18:49:49.327404
03,Alicante/Alacant,INTERNATIONAL WALDORF COLLEGE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5750&index=1&lang=es_ES,=5750,2026-01-27T18:49:49.343246
03,Alicante/Alacant,PARA EL ESTUDIO Y PROMOCIÓN DE LA SOCIEDAD CIVIL SOCIES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10251&index=1&lang=es_ES,=10251,2026-01-27T18:49:49.348079
