codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp,nif,numero_registro,fecha_extincion,fecha_constitucion,fecha_inscripcion,domicilio,localidad,codigo_postal,provincia_detalle,telefono,fax,email,web,fines_completo,actividades_completo,fecha_extraccion,url_detalle,error
20,Gipuzkoa,RESPETO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14831&index=1&lang=es_ES,=14831,2026-01-27T18:50:55.825943,G84429042,706CUL,,20/06/2005,26/04/2006,"C/ Peña y Goñi, nº 9, 4º izda",San Sebastian,20002,Guipúzcoa,,,,,"a) Promover el respeto como base imprescindible e irrenunciable entre personas y colectivos de diferentes tendencias ideológicas, políticas, religiosas y sexuales, para un entendimiento colectivo que fomente el desarrollo y la justicia social en todos los órdenes. b) Fomentar los derechos fundamentales de las personas. c) Participación en actividades artísticas de sectores sociales desfavorecidos y marginales, como una nueva vía de integración social a través del arte, e incentivando los grupos de trabajo como una nueva forma de corresponsabilidad. d) Promoción de artistas, sin límite de edad, en cuyos países la situación política, social y económica impida un desarrollo normalizado de los campos artísticos vinculados a las Bellas Artes. Esta promoción se llevará a cabo a través de Becas de estudio o de investigación, o estancias pagadas en la propia Fundación. e) Colaborar con otras fundaciones de todo el mundo que persigan los mismos objetivos que la Fundación Respeto.","Promover el respeto entre personas y colectivos de diferentes tendencias ideológicas, políticas, religiosas y sexuales; promover a artistas mediante becas de estudio o de investigación.
Taller de Arte e Instalación Artística en el Centro Penitenciario Madrid IV ( Navalcarnero ).
Taller de Arte e Instalación Artística en el Centro Penitenciario Madrid VII ( Estremera ).
Taller de Arte e Instalación Artística en el Centro Penitenciario Madrid III ( Valdemoro ) .
Taller de Arte e Instalación Artística en el Centro Penitenciario de Pamplona.
Taller de Arte e Instalación Artística en el Centro Penitenciario de El Dueso.
Taller de Arte e Instalación Artística en el Centro Penitenciario de Santander.
Taller de Arte e Instalación Artística en el Centro Penitenciario de Logroño.
Taller de Arte e Instalación Artística en el Centro Penitenciario de Valladolid.
Taller de Arte e Instalación Artística en el Centro Penitenciario de Burgos.
Taller de Arte e Instalación Artística en el Centro Penitenciario El Acebuche.
Taller de Arte e Instalación Artística en el Centro Penitenciario de Alicante II.
Taller de Arte e Instalación Artística en la Dirección General de Instituciones Penitenciarias.",2026-01-27T18:58:40.964315,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14831&index=1&lang=es_ES,
20,Gipuzkoa,LABORAL AYMA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15911&index=1&lang=es_ES,=15911,2026-01-27T18:50:55.846832,,13EMP,,21/04/1978,21/04/1978,"C/ Piedad, 24",Zumárraga,20700,Guipúzcoa,943729070.0,,,,"La elevación de las condiciones de vida de los trabajadores de la Empresa ACEROS Y MATERIALES, S.A. en orden a su mejor desenvolvimiento familiar, cultural y profesional, mediante la concesión de ayudas económicas para estudios de los hijos de los socios de la Fundación; Prestaciones en caso de enfermedad prolongada o grave o de urgente atención y de incapacidad total o parcial para el trabajo; Prestaciones a los jubilados y a las viudas y huérfanos de socios de la Fundación; Las que puedan motivarse con ocasión del servicio militar; A favor de los socios a cuyo cargo vivan en su mismo domicilio padres enfermos o incapacitados; Para adquisición de vivienda; Anticipos sin interés.","Concesión de ayudas económicas en los siguientes casos: a) Para estudios de los hijos de los socios de la Fundación. Esta ayuda se realizará únicamente en estudios superiores, al objeto de permitir a los hijos de los socios, los máximos niveles culturales y profesionales. b) Prestaciones en caso de enfermedad prolongada o grave o de urgente atención y de incapacidad total o parcial para el trabajo. c) Prestaciones a los jubilados y a las viudas y huérfanos de socios de la Fundación. d)Las que puedan motivarse con ocasión de la prestación del servicio militar, e) En favor de los socios a cuyo cargo vivan en su mismo domicilio padres enfermos o incapacitados. f) Con destino a la adquisición de Vivienda. g) Anticipos sin interés. h) Cualesquiera otras que la Junta General acuerde, a la vista de las posibilidades financiera de la Fundación.",2026-01-27T18:58:42.452690,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15911&index=1&lang=es_ES,
20,Gipuzkoa,ZULUETA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16250&index=1&lang=es_ES,=16250,2026-01-27T18:50:55.857014,G20611356,265SND,,24/11/1997,03/07/1998,"C/Zubieta, 12",San Sebastián,20007,Guipúzcoa,,,,,"La Fundación tiene como finalidad: Promover el desarrollo ecómico y el bienestar del pueblo cubano a través del fomento de las relaciones empresariales y económicas Hispano-Cubanas, que generen empleo, espíritu empresarial y riqueza en Cuba.",,2026-01-27T18:58:44.021455,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16250&index=1&lang=es_ES,
20,Gipuzkoa,ASCODEL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16251&index=1&lang=es_ES,=16251,2026-01-27T18:50:55.877624,G20863478,266SND,,31/12/2004,06/04/2005,"Avda. de Ategorrieta, 9 - 3º dcha",San Sebastián,20013,Guipúzcoa,,,ascodel@ascodel.org,,"La reinserción laboral y profesional de desempleados mayores de 40 años, a cuyo objeto se promoverán las acciones que sirvan a este fin, removiendo los obstáculos que impidan o dificulten la misma.","A) La promoción y fomento del empleo y la difusión de los valores y capacitación de los desempleados mayores de 40 años. B) El estudio, investigación y perfeccionamiento de los sistemas de protección jurídica, social y económica de este sector de la población en riesgo de exclusión social. C) La concesión de ayudas económicas a instituciones y participación en el desarrollo de las actividades de otras entidades que realicen actividades coincidentes o complementarias con las de la propia Fundación. D) La publicación y difusión de trabajos, artículos, informes y dictámenes sobre el desempleo de larga duración, la mujer, la igualdad de oportunidades y la conciliación de la vida familiar y laboral. E) La colaboración con otras entidades e instituciones, públicas y privadas, para la mejora económica y social de la gestión de la inserción laboral y de sus asociaciones y organizaciones. F) Y, de modo genérico, llevar a cabo cuantas actuaciones sean conducentes al mejor logro de sus fines.",2026-01-27T18:58:45.544443,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16251&index=1&lang=es_ES,
20,Gipuzkoa,TXEMA ELORZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16252&index=1&lang=es_ES,=16252,2026-01-27T18:50:55.900661,G20962551,267SND,,30/11/2007,03/06/2008,"Plaza Anzarán, 11 Trasera",Irún,20301,Guipúzcoa,943632239.0,,,,"La promoción de la acción social para mejorar las condiciones y la calidad en el trabajo de los trabajadores del sector de la ferretería y el bricolaje, así como prestar ayuda a las familias necesitadas de este sector de actividad.","Para el mejor cumplimiento de sus fines, la Fundación puede realizar, entre otras, las siguientes actividades: a) Concesión de ayudas económicas a personas individuales en situación de necesidad. b) Organización y realización de cursos de formación para los trabajadores del sector. c) Organización de los Premios Txema Elorza a la investigación y el ¡desarrollo de procedimientos y documentos relacionados con el buen ejercicio profesional y la importancia de los valores humanos y profesionales en el sector de la ferretería y el bricolaje d) Conocer toda aquella información actual y útil, relativa al comportamiento del sector y su naturaleza. - Analizando procedimientos, comportamientos e información existente en cada momento. - Realizando estudios, trabajos técnicos y de investigación. - Estudiando la evolución, tendencias y comportamiento del sector y la materia en cuestión. e) Estimular la realización de esfuerzos y conciencia sobre la ética, los valores y la relevancia de la profesión. - Impulsando la búsqueda de sinergias entre los profesionales. - Sensibilizando al gran público y a los profesionales, en la toma de conciencia sobre las particularidades del sector. - Incrementando la corresponsabilidad en el desempeño profesional. - Incrementando el nivel de conocimiento sobre las aportaciones del sector en diferentes niveles. f) Fomentar el diálogo y la formación entre los profesionales, a través de eventos destinados a favorecer la reflexión sobre cuestiones de mejora profesional. - Organizando eventos destinados a reflexionar sobre mejoras y beneficios que el sector puede aportar. a Participando en ferias, congresos y mesas redondas. - Estando presente en Internet con información profesional. - Realizando campañas de concienciación en medios especializados del sector. g) Informar a consumidores y público en general sobre la evolución y mejoras incorporadas al sector en el tiempo. - Organizando ruedas de prensa y otros eventos informativos con el fin de trasladarles información. - Estando presente en Internet con información, tanto para el particular, como para el profesional. - Realizando campañas de concienciación en medios generales, h) Financiación económica y aportación de productos excedentarios del sector de la ferretería y el bricolaje que puedan ser aprovechados por ONG para el desarrollo. i) Y, de modo genérico, llevar a cabo cuantas actuaciones sean conducentes al mejor logro de sus fines. La Fundación, atendidas las circunstancias de cada momento, tendrá plena libertad para proyectar su actuación hacia cualesquiera de las actividades expresadas en este artículo, según los objetivos concretos que, a juicio de su patronato, resulten prioritarios.",2026-01-27T18:58:47.459134,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16252&index=1&lang=es_ES,
20,Gipuzkoa,ETIOPIAUTOPIA FUNDAZIOA TIKAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16253&index=1&lang=es_ES,=16253,2026-01-27T18:50:55.919287,G75005926,268SND,,20/07/2009,08/09/2009,"Paseo Mikeletegui, 53 - E . 2ª (Parque Tecnológico de San Sebastián)",Donostia- San Sebastián,20009,Guipúzcoa,,,,,Trabajar con el Wukro social and Development Program en la cobertura de las necesidades básicas de la población de Wukro (Etiopía) y de la provincia de Tigray Generar una conciencia acerca de cuáles son las causas de la pobrez y su ifluencia en la situa.,"Para la consecución de los fines mencionados en el artículo anterior, la Fundación realizará las siguientes actividades: - Programas de intervención sanitaria y nutricional. - Actividades dirigidas al fomento y mejora del acceso a actividades deportivas. - Actividades dirigidas a tener un mejor conocimiento de las necesidades de Wukro y de la región del Tigray. - Actividades de sensibilización y comunicación. - Actividades dirigidas a fortalecer la red social en relación a los fines de la fundación. - Cuantas otras actividades que, sin contravenir los fines de la Fundación, permitan mejorar la calidad de vida de los beneficiarios de la Fundación. Además, con el objeto de obtener ingresos, la Fundación podrá realizar actividades mercantiles cuyo objeto esté relacionado con los fines fundacionales o sean complementarias o accesorias de las anteriores, con sometimiento a las normas reguladoras de la defensa de la competencia.",2026-01-27T18:58:49.891703,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16253&index=1&lang=es_ES,
20,Gipuzkoa,LA SONRISA DE LA ESPERANZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17973&index=1&lang=es_ES,=17973,2026-01-27T18:50:55.939775,G75192641,2072JUS,,05/01/2018,11/07/2018,"Paseo Federico García Lorca nº 7, Local 6",Donostia-San Sebastián,20014,Guipúzcoa,943431543.0,,,,"La realización de misiones humanitarias, de carácter médico-sanitario, quirúrgico y asistencial consistentes el ejercicio médico-sanitario a nivel formativo, preventivo, curativo y de investigación, con incidencia directa en la mejora de la salud de las personas más desfavorecidas de países en desarrollo y en cualquier entorno geográfico.","a) Dar a conocer y sensibilizar a la población sobre las causas evitables de enfermedad y las soluciones que podrían eliminar el problema, mediante la realización de actividades de docencia. Organización de simposiums y congresos. b) Asesorar y ayudar a planificar, desarrollar e implementar los programas de prevención de enfermedades. Servir de punto de encuentro de colectivos ímplicados (médicos, enfermeros, auxiliares, etc), para tratar del cuidado óptimo de los enfermos, así como de las alternativas terapéuticas que vayan surgiendo. c) Realización de actividades de investigación, bien de forma directa o en colaboración con otras entidades de finalidad análoga. d) Ejercicio directo de la actividad asistencial. e) Dotación de medios técnicos y quirúrgicos necesarios para el desarrollo de los fines, realizando si fuese necesaria la importación y exportación de los mismos. f} Facilitar la coordinación de las actuaciones de los diferentes equipos. g) Interlocución con las administraciones y otras fundaciones, asociaciones y entidades similares existentes en otros países. h) Y cuantas otras sean necesarias para la consecución de los fines propuestos con la aprobación del patronato.",2026-01-27T18:58:51.620991,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17973&index=1&lang=es_ES,
20,Gipuzkoa,DELEGACION DE PAISAIA EUROPEAN LANDSCAPE FOUNDATION LTD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18535&index=1&lang=es_ES,=18535,2026-01-27T18:50:55.963075,W0086792I,2702JUS,,09/04/2021,24/03/2023,"Calle Altzo Muino, 73",Altzo,20268,Guipúzcoa,,,,,"Adquirir, gestionar, restaurar y mantener extensiones de terreno en Europa y en el Cáucaso cuyo aspecto y trazado son típicos de las técnicas agrícolas, ganaderas o forestales tradicionales de la zona y que, por tanto, tienen especial importancia para las características de sus emplazamientos. La preservación del aspecto y el funcionamiento de estos paisajes tienen además como objetivo mejorar y proteger su biodiversidad y reconocer su valor cultural.","1. La difusión del conocimiento e importancia del patrimonio de estos terrenos y sus peculiares características, su valor paisajístico y los servicios ecosistémicos que brindan, a través de páginas web, salidas guiadas, charlas, etc 2. Afianzar la colaboración con agentes locales (ayuntamientos, agricultores, ciudadanía, etc.) e implicar a Paisaia ELF en el desarrollo de planes y actividades dirigidos a la conservación y gestión sostenible de terrenos agrícolas y forestales en todo el territorio Español, con especial atención a la puesta en valor del paisaje tradicional en el municipio de AItzo (Gipuzkoa). 3. Evaluar la viabilidad de adquirir mediante compra, cesión o acuerdo de custodia de tierras agrícolas en desuso o abandonadas para su restauración y recuperación. 4. Trabajar en afianzar y fortalecer el trabajo en red con instituciones públicas y privadas, agricultores y otras asociaciones y fundaciones que comparten finalidad y objetivos con Paisaia ELF. 5. Trabajar en la obtención de fondos para el desarrollo de las actividades mencionadas.",2026-01-27T18:58:53.370875,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18535&index=1&lang=es_ES,
20,Gipuzkoa,JASON,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18873&index=1&lang=es_ES,=18873,2026-01-27T18:50:55.985538,G98637507,2956JUS,,29/04/2014,14/11/2024,"Pº de Heriz, 95",San Sebastián,20008,Guipúzcoa,,,,,"Persigue como fin último el fomento y desarrollo de la innovación, la competitividad y el desarrollo sostenible, orientados hacia la consecución de la excelencia empresarial, fundamentalmente a nivel nacional, no descartándose la posibilidad de ejercer su actividad para el mismo fin a nivel internacional.","Para el mejor cumplimiento de sus fines, la Fundación puede realizar, entre otras, las siguientes actividades: - Promover y participar en programas y ayudas para la formación y el empleo, a través de distintas convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento, implementación y desarrollo de nuevas tecnologías, a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento, implementación y desarrollo de nuevos modelos organizacionales, a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento, implementación y desarrollo de nuevos sistemas de gestión basados en procesos, a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento, implementación y desarrollo de la innovación como eje de competitividad, a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento, implementación y desarrollo del emprendimiento como eje de competitividad, a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al fomento del empleo de colectivos desfavorecidos (Jóvenes desempleados; mujeres; desempleados de larga duración; personas en desempleo mayores de 45 años; personas con diversidad funcional. .. ), a través de programas formativos y de empleo y a través de diferentes convocatorias a tal efecto. - Promover y participar en programas y ayudas dirigidos al cuidado del medio ambiente como eje de sostenibilidad, a través de diferentes convocatorias a tal efecto. - Promover y/o participar en cualquier tipo de iniciativa, de carácter formativo o de cualquier otra naturaleza, orientada a la atención de las personas con altas capacidades. Además de realizar todas aquellas tareas subordinadas o accesorias a la actividad principal, tales como el ejercicio de las actividades económicas precisas para el cumplimiento de los fines. En general y de modo genérico, llevar a cabo cuantas actuaciones sean conducentes al mejor logro de sus fines.",2026-01-27T18:58:54.990483,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18873&index=1&lang=es_ES,
21,Huelva,JUAN MANUEL FLORES JIMENO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3447&index=1&lang=es_ES,=3447,2026-01-27T18:50:59.465902,G21275318,438EDU,,25/02/1999,29/03/1999,"Avenida Martín Alonso Pinzón, 10",Huelva,21003,Huelva,959282815.0,959282815.0,fundacionjmfj@terra.com,http://www.fundacionjmfj.com,"La docencia y la investigación en el campo científico en la bioquímica, biología, genética y de manera especial en las ciencias farmacéuticas. La docencia e investigación de la alimentación humana y cuanto concierne a la defensa de los derechos a la vida y el mundo infantil.","El desarrollo de los fines de la Fundación se efectuará a través de algunas de las formas siguientes de actuación: • Por la Fundación directamente en Centros propios o ajenos. • Concediendo ayudas económicas. • Otorgando subvenciones a instituciones. • Participando en el desarrollo de las actividades de otras entidades que realicen actividades coincidentes o complementarias con las de la propia Fundación. • Mediante la realización de estudios, investigaciones, cursos y conferencias. • Mediante publicaciones, exposiciones y otras actividades culturales.",2026-01-27T18:58:56.613789,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3447&index=1&lang=es_ES,
