codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp,nif,numero_registro,fecha_extincion,fecha_constitucion,fecha_inscripcion,domicilio,localidad,codigo_postal,provincia_detalle,telefono,fax,email,web,fecha_extraccion
20,Gipuzkoa,RESPETO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14831&index=1&lang=es_ES,=14831,2026-01-27T18:50:55.825943,G84429042,706CUL,,20/06/2005,26/04/2006,"C/ Peña y Goñi, nº 9, 4º izda",San Sebastian,20002,Guipúzcoa,,,,,2026-01-27T19:18:11.838885
20,Gipuzkoa,LABORAL AYMA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15911&index=1&lang=es_ES,=15911,2026-01-27T18:50:55.846832,,13EMP,,21/04/1978,21/04/1978,"C/ Piedad, 24",Zumárraga,20700,Guipúzcoa,943729070.0,,,,2026-01-27T19:18:13.264349
20,Gipuzkoa,ZULUETA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16250&index=1&lang=es_ES,=16250,2026-01-27T18:50:55.857014,G20611356,265SND,,24/11/1997,03/07/1998,"C/Zubieta, 12",San Sebastián,20007,Guipúzcoa,,,,,2026-01-27T19:18:15.230388
20,Gipuzkoa,ASCODEL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16251&index=1&lang=es_ES,=16251,2026-01-27T18:50:55.877624,G20863478,266SND,,31/12/2004,06/04/2005,"Avda. de Ategorrieta, 9 - 3º dcha",San Sebastián,20013,Guipúzcoa,,,ascodel@ascodel.org,,2026-01-27T19:18:16.760061
20,Gipuzkoa,TXEMA ELORZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16252&index=1&lang=es_ES,=16252,2026-01-27T18:50:55.900661,G20962551,267SND,,30/11/2007,03/06/2008,"Plaza Anzarán, 11 Trasera",Irún,20301,Guipúzcoa,943632239.0,,,,2026-01-27T19:18:18.730856
20,Gipuzkoa,ETIOPIAUTOPIA FUNDAZIOA TIKAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16253&index=1&lang=es_ES,=16253,2026-01-27T18:50:55.919287,G75005926,268SND,,20/07/2009,08/09/2009,"Paseo Mikeletegui, 53 - E . 2ª (Parque Tecnológico de San Sebastián)",Donostia- San Sebastián,20009,Guipúzcoa,,,,,2026-01-27T19:18:21.297829
20,Gipuzkoa,LA SONRISA DE LA ESPERANZA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17973&index=1&lang=es_ES,=17973,2026-01-27T18:50:55.939775,G75192641,2072JUS,,05/01/2018,11/07/2018,"Paseo Federico García Lorca nº 7, Local 6",Donostia-San Sebastián,20014,Guipúzcoa,943431543.0,,,,2026-01-27T19:18:23.053961
20,Gipuzkoa,DELEGACION DE PAISAIA EUROPEAN LANDSCAPE FOUNDATION LTD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18535&index=1&lang=es_ES,=18535,2026-01-27T18:50:55.963075,W0086792I,2702JUS,,09/04/2021,24/03/2023,"Calle Altzo Muino, 73",Altzo,20268,Guipúzcoa,,,,,2026-01-27T19:18:24.605975
20,Gipuzkoa,JASON,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18873&index=1&lang=es_ES,=18873,2026-01-27T18:50:55.985538,G98637507,2956JUS,,29/04/2014,14/11/2024,"Pº de Heriz, 95",San Sebastián,20008,Guipúzcoa,,,,,2026-01-27T19:18:26.261497
21,Huelva,JUAN MANUEL FLORES JIMENO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3447&index=1&lang=es_ES,=3447,2026-01-27T18:50:59.465902,G21275318,438EDU,,25/02/1999,29/03/1999,"Avenida Martín Alonso Pinzón, 10",Huelva,21003,Huelva,959282815.0,959282815.0,fundacionjmfj@terra.com,http://www.fundacionjmfj.com,2026-01-27T19:18:27.895200
