comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
16,01051,0105103,Agurain/Salvatierra,Agurain,Salvatierra,01,True
16,01001,0100104,Alegría-Dulantzi,Alegría,Dulantzi,01,True
16,01002,0100209,Amurrio,Amurrio,Amurrio,01,True
16,01049,0104903,Añana,Añana,Añana,01,True
16,01003,0100305,Aramaio,Aramaio,Aramaio,01,True
16,01006,0100606,Armiñón,Armiñón,Armiñón,01,True
16,01037,0103706,Arraia-Maeztu,Arraia,Maeztu,01,True
16,01008,0100808,Arratzua-Ubarrundia,Arratzua,Ubarrundia,01,True
16,01004,0100400,Artziniega,Artziniega,Artziniega,01,True
16,01009,0100901,Asparrena,Asparrena,Asparrena,01,True
16,01010,0101005,Ayala/Aiara,Ayala,Aiara,01,True
16,01011,0101102,Baños de Ebro/Mañueta,Baños de Ebro,Mañueta,01,True
16,01013,0101303,Barrundia,Barrundia,Barrundia,01,True
16,01014,0101408,Berantevilla,Berantevilla,Berantevilla,01,True
16,01016,0101604,Bernedo,Bernedo,Bernedo,01,True
16,01017,0101700,Campezo/Kanpezu,Campezo,Kanpezu,01,True
16,01021,0102100,Elburgo/Burgelu,Elburgo,Burgelu,01,True
16,01022,0102205,Elciego,Elciego,Elciego,01,True
16,01023,0102301,Elvillar/Bilar,Elvillar,Bilar,01,True
16,01046,0104608,Erriberagoitia/Ribera Alta,Erriberagoitia,Ribera Alta,01,True
16,01056,0105605,Harana/Valle de Arana,Harana,Valle de Arana,01,True
16,01901,0190105,Iruña Oka/Iruña de Oca,Iruña Oka,Iruña de Oca,01,True
16,01027,0102708,Iruraiz-Gauna,Iruraiz,Gauna,01,True
16,01019,0101909,Kripan,Kripan,Kripan,01,True
16,01020,0102003,Kuartango,Kuartango,Kuartango,01,True
16,01028,0102804,Labastida/Bastida,Labastida,Bastida,01,True
16,01030,0103001,Lagrán,Lagrán,Lagrán,01,True
16,01031,0103108,Laguardia,Laguardia,Laguardia,01,True
16,01032,0103203,Lanciego/Lantziego,Lanciego,Lantziego,01,True
16,01902,0190200,Lantarón,Lantarón,Lantarón,01,True
16,01033,0103309,Lapuebla de Labarca,Lapuebla de Labarca,Lapuebla de Labarca,01,True
16,01036,0103600,Laudio/Llodio,Laudio,Llodio,01,True
16,01058,0105807,Legutio,Legutio,Legutio,01,True
16,01034,0103404,Leza,Leza,Leza,01,True
16,01039,0103905,Moreda de Álava/Moreda Araba,Moreda de Álava,Moreda Araba,01,True
16,01041,0104106,Navaridas,Navaridas,Navaridas,01,True
16,01042,0104201,Okondo,Okondo,Okondo,01,True
16,01043,0104307,Oyón-Oion,Oyón,Oion,01,True
16,01044,0104402,Peñacerrada-Urizaharra,Peñacerrada,Urizaharra,01,True
16,01047,0104704,Ribera Baja/Erriberabeitia,Ribera Baja,Erriberabeitia,01,True
16,01052,0105208,Samaniego,Samaniego,Samaniego,01,True
16,01053,0105304,San Millán/Donemiliaga,San Millán,Donemiliaga,01,True
16,01054,0105409,Urkabustaiz,Urkabustaiz,Urkabustaiz,01,True
