codigo_ine,nombre_oficial,nombre_alternativo,nombre_cooficial,comunidad_autonoma_codigo,activo
01,Araba/Álava,Álava,Araba,16,True
02,Albacete,Albacete,Albacete,08,True
03,Alicante/Alacant,Alacant,Alicante,10,True
04,Almería,Almería,Almería,01,True
05,Ávila,Ávila,Ávila,07,True
06,Badajoz,Badajoz,Badajoz,11,True
07,"Balears, Illes","Balears, Illes","Balears, Illes",04,True
08,Barcelona,Barcelona,Barcelona,09,True
09,Burgos,Burgos,Burgos,07,True
10,Cáceres,Cáceres,Cáceres,11,True
11,Cádiz,Cádiz,Cádiz,01,True
12,Castellón/Castelló,Castelló,Castellón,10,True
13,Ciudad Real,Ciudad Real,Ciudad Real,08,True
14,Córdoba,Córdoba,Córdoba,01,True
15,"Coruña, A","Coruña, A","Coruña, A",12,True
16,Cuenca,Cuenca,Cuenca,08,True
17,Girona,Girona,Girona,09,True
18,Granada,Granada,Granada,01,True
19,Guadalajara,Guadalajara,Guadalajara,08,True
20,Gipuzkoa,Gipuzkoa,Gipuzkoa,16,True
21,Huelva,Huelva,Huelva,01,True
22,Huesca,Huesca,Huesca,02,True
23,Jaén,Jaén,Jaén,01,True
24,León,León,León,07,True
25,Lleida,Lleida,Lleida,09,True
26,"Rioja, La","Rioja, La","Rioja, La",17,True
27,Lugo,Lugo,Lugo,12,True
28,Madrid,Madrid,Madrid,13,True
29,Málaga,Málaga,Málaga,01,True
30,Murcia,Murcia,Murcia,14,True
31,Navarra,Navarra,Navarra,15,True
32,Ourense,Ourense,Ourense,12,True
33,Asturias,Asturias,Asturias,03,True
34,Palencia,Palencia,Palencia,07,True
35,"Palmas, Las","Palmas, Las","Palmas, Las",05,True
36,Pontevedra,Pontevedra,Pontevedra,12,True
37,Salamanca,Salamanca,Salamanca,07,True
38,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,05,True
39,Cantabria,Cantabria,Cantabria,06,True
40,Segovia,Segovia,Segovia,07,True
41,Sevilla,Sevilla,Sevilla,01,True
42,Soria,Soria,Soria,07,True
43,Tarragona,Tarragona,Tarragona,09,True
44,Teruel,Teruel,Teruel,02,True
45,Toledo,Toledo,Toledo,08,True
46,Valencia/València,València,Valencia,10,True
47,Valladolid,Valladolid,Valladolid,07,True
48,Bizkaia,Bizkaia,Bizkaia,16,True
49,Zamora,Zamora,Zamora,07,True
50,Zaragoza,Zaragoza,Zaragoza,02,True
51,Ceuta,Ceuta,Ceuta,18,True
52,Melilla,Melilla,Melilla,19,True
