Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Canarias-Las Palmas,Canarias-Las Palmas,Arrecife y Merc.,Tinajo,Ermita y Plaza de Nuestra Señora del Pilar,Ermita y plaza,True,Diócesis de Canarias,True
Canarias-Las Palmas,Canarias-Las Palmas,Arrecife y Merc.,Tinajo,Ermita de Nuestra Señora de los Dolores y Plaza del mismo nombre,Ermita y plaza,True,Diócesis de Canarias,True
Canarias-Las Palmas,Canarias-Las Palmas,Arrecife y Merc.,Tinajo,Iglesia y Plaza de San Roque,Iglesia y plaza,True,Diócesis de Canarias,True
Canarias-Las Palmas,Canarias-Las Palmas,Arrecife y Merc.,Arrecife,Iglesia Parroquial de San Ginés,Iglesia parroquial,True,Diócesis de Canarias,True
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,Iglesia de La Candelaria,Iglesia,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,Ermita de San Antonio,Ermita,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,Ermita de San Vicente Ferrer,Ermita,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,Ermita de San Juan Bautista,Ermita,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,Ermita de Nuestra Señora de la Caridad,Ermita,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Corralejo,La Oliva,,Parcela,False,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Mogan,Mogan,Iglesia parroquial de San Antonio de Mogán,Iglesia,True,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Pajara,"Ermita de Nuestra Señora de Fátima en Tarajal de Sancho, s/n",Ermita,True,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Pajara,Ermita de San Antonio ubicada en el Pago de Toto,Ermita,True,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Pajara,Cementerio ubicado en Morro del Calvario,Cementerio,True,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Pajara,Parcela en La Lajita,,False,Diócesis de Canarias,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Tuineje,"ubicada en C/ San Marcos, 1, en el pago de Tiscamanita",,False,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Tuineje,"ubicada en la Plaza de San Miguel, 2",,False,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Tuineje,Ermita de San José en el pago de Tesejerague,Ermita,True,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Pajara,Tuineje,Pastos ubicados en el Paraje de Las Playitas,Pastos,False,Iglesia Católica,False
Canarias-Las Palmas,Canarias-Las Palmas,Las Palmas de Gran Canaria Nº 01,Santa Brigida,Sin denominación especial,Ermita,True,Diócesis de Canarias,True
