Comunidad Autónoma,Provincia,REGISTRO,Municipio,Título,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
La Rioja,La Rioja,Aguilar del Rio Alhama,Aguilar del Rio Alhama,Rústica,Rústica,False,Parroquia de la Inmaculada Concepción,False
La Rioja,La Rioja,Aguilar del Rio Alhama,Aguilar del Rio Alhama,Ermita de la Virgen del Prado,Ermita,True,Parroquia de la Natividad de Nuestra Señora de las Inestrillas,False
La Rioja,La Rioja,Aguilar del Rio Alhama,Aguilar del Rio Alhama,Rústica,Rústica,False,Parroquia de la Natividad de Nuestra Señora,False
La Rioja,La Rioja,Aguilar del Rio Alhama,Aldeanueva de Ebro,Templo parroquial,Templo,True,Diócesis de Calahorra,False
La Rioja,La Rioja,Aguilar del Rio Alhama,Alfaro,Colegio,Colegio,False,Diócesis de Calahorra,False
La Rioja,La Rioja,Cervera del Rio Alhama,Cervera del Rio Alhama,Casa parroquial,Casa parroquial,True,Parroquia de Rincón de Olivedo,False
La Rioja,La Rioja,Cervera del Rio Alhama,Cervera del Rio Alhama,Templo parroquial de las Ventas,Urbana,False,Parroquia de Valdegutur,False
La Rioja,La Rioja,Cervera del Rio Alhama,Cervera del Rio Alhama,Templo parroquial de Valdegutur,Templo,True,Parroquia de Ventas,False
La Rioja,La Rioja,Cervera del Rio Alhama,Cervera del Rio Alhama,Solar,"Solar, Vivienda de Protección Oficial",False,Parroquia de Cervera del Río Alhama,False
La Rioja,La Rioja,Cornago,Cornago,Trastero parroquial en Camino Plaza Valdeperillo,Trastero,False,Diócesis de Calahorra,False
La Rioja,La Rioja,Cornago,Cornago,Vivienda parroquial en Camino Plaza Valdeperillo,Vivienda de Protección Oficial,False,Diócesis de Calahorra,False
La Rioja,La Rioja,Cornago,Cornago,Rústica,Rústica,False,Parroquia de San Antonio Abad de Valdeperillo,False
La Rioja,La Rioja,Cornago,Cornago,Rústica,Rústica,False,Parroquia de San Antonio Abad de Valdeperillo,False
La Rioja,La Rioja,Cornago,Cornago,Ermita de Santa Ana,Ermita,True,Parroquia de San Pedro Apóstol,False
La Rioja,La Rioja,Cornago,Cornago,Ermita de San Sebastián,Ermita,True,Parroquia de San Pedro Apóstol,False
La Rioja,La Rioja,Cornago,Gravalos,Solar,Solar,False,Diócesis de Calahorra,False
La Rioja,La Rioja,Cornago,Gravalos,Solar,Solar,False,Parroquia de Gravalos,False
La Rioja,La Rioja,Igea,Igea,Ermita de Santa Ana,Ermita,True,Parroquia de Nuestra Señora de la Asunción,False
La Rioja,La Rioja,Igea,Igea,Ermita Virgen del Villar,Ermita,True,Parroquia de Nuestra Señora de la Asunción,False
