id,codigo_notaria,direccion,codigo_postal,telefono,fax,email,municipio_id,codigo_ine_ccaa,codigo_ine_provincia,codigo_ine_municipio,activa,audit_creado_en,audit_creado_por
06d54ef1-b7c3-4d1b-a14d-65ce1c462424,150026001,"Rua das Palmeiras, número 19 Bajo (Milladoiro)",15895,881.046.685,881.047.857,,da5fd4ab-d708-4979-9f58-0ea86a4e7740,12,15,15002,True,2026-01-27T12:11:36.802902,transform_notarios.py
f68f3eae-f979-4ce6-bd23-0cf4cf53bfcf,150050026,"Travesia de Arteixo, número 4",15142,881.150.515,881.150.525,info@arteixonotariamaf.com,31d0ae3c-ca02-4d0f-a299-296537208beb,12,15,15005,True,2026-01-27T12:11:36.803899,transform_notarios.py
e7356102-42f4-4523-bc88-1f8382cef9f5,150050025,"Travesia Arteixo, número 2 (Cruce de Sabón)",15142,981.640.939,981.640.940,,31d0ae3c-ca02-4d0f-a299-296537208beb,12,15,15005,True,2026-01-27T12:11:36.803899,transform_notarios.py
c169a4fc-78ec-4125-98d4-0465147e09b0,150063042,"Calle Lugo, número 2 Pl 2 Izq",15810,981.500.643,981.500.102,notaria.arzua@gmail.com,3519c896-ced0-468c-a174-5f0be28f19db,12,15,15006,True,2026-01-27T12:11:36.803899,transform_notarios.py
ca0d9d8d-0d7f-4073-870b-b5b81bd9190d,150098001,"Rua dos Ferradores, número 17 Pl 1",15300,981.770.412,981.770.804,,ed3197ca-e96f-429e-9c5b-947a670c272d,12,15,15009,True,2026-01-27T12:11:36.803899,transform_notarios.py
94af9d6a-59c2-4843-9f2d-6af1de7627d7,150098002,"Calle Fonte da Unta, número 2 Pl 2 I",15300,981.775.959,981.775.863,,ed3197ca-e96f-429e-9c5b-947a670c272d,12,15,15009,True,2026-01-27T12:11:36.803899,transform_notarios.py
1a5c4250-8347-432a-bb3e-58a4662a36cc,150119037,"Calle Robustiano Pérez del Río, número 11 Local",15930,981.844.216,981.845.261,,9495c9a5-e5f4-4242-9aa3-47dfecdff180,12,15,15011,True,2026-01-27T12:11:36.803899,transform_notarios.py
9c942fb1-45c7-49f3-93fe-023458352472,150177001,"Rua Telleiro, número 10 Local (Plaza Manuel Lugrís - El Temple)",15679,981.654.887,981.661.950,,712021d0-da0d-40dd-a194-e8fcc707a398,12,15,15017,True,2026-01-27T12:11:36.803899,transform_notarios.py
661c42f1-fb86-4ce5-92be-a696a3020ce4,150196011,"Calle Luis Calvo, número 32 Planta 1",15100,981.704.066,981.704.192,,b407f8aa-b181-441b-89b0-4d47071b4e69,12,15,15019,True,2026-01-27T12:11:36.803899,transform_notarios.py
eefe99d9-4a76-4e14-b4b4-fb9d658b17ea,150196008,"Calle Estrella, número 5 1",15100,981.702.890,981.755.896,,b407f8aa-b181-441b-89b0-4d47071b4e69,12,15,15019,True,2026-01-27T12:11:36.803899,transform_notarios.py
289406da-58d1-4ffd-9d5a-4b5694d2e22d,150222026,"Avenida da Area, número 12 Bajo",15350,981.481.092,981.492.264,,4d370221-9023-456d-9e20-2de340c7068b,12,15,15022,True,2026-01-27T12:11:36.803899,transform_notarios.py
73199376-84b5-497b-b2d9-bd7fac18d9c6,150281001,"Avenida Constitución, número 5",15130,981.747.342,981.747.244,,4300a3c9-f0f0-4a20-8676-b544230cbd0b,12,15,15028,True,2026-01-27T12:11:36.803899,transform_notarios.py
d1e09f33-a0fc-4fa4-95ba-b1c373b17f4e,150308017,"Calle Juana de Vega, número 12 Pl 3",15003,981.228.227,981.214.497,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
d975140d-8400-4772-85fc-c6fa15cf5944,150308013,"Calle Juana de Vega, número 2 Pl 3",15003,981.216.360,981.226.438,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
5ef821e0-e67f-4dde-a550-f2fdfddf8725,150308001,"Calle Ronda de Outeiro, número 245 Bajo Izq",15010,981.211.124,981.200.786,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
0cdf9afc-56a9-470a-92f9-615dd6c38be2,150308003,"Calle Durán Loriga, número 7 Planta 1 Puerta D",15003,981.619.443,881.800.200,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
97818098-89d0-4562-9bd4-06fd7df86b1e,150308012,"Plaza de Galicia, número 2 Pl 2 C",15004,981.126.950,981.126.661,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
1ca49f4a-7bbf-4cef-87e1-e487da91878f,150308006,"Plaza Lugo, número 18 Planta 1",15004,881.150.100,881.150.400,gonzalofreire@notariado.org,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
a237ac68-0b71-425e-8548-064ca31ca1b7,150308021,"Calle Fontán, número 3 Pl 2 A-B",15004,881.886.293,881.886.365,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
8059f14a-666b-4913-b44b-ff0247285715,150308016,"Rua Nueva, número 3 Planta 3",15003,981.260.726,981.227.696,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
fe5728dd-6174-4bc9-b452-92a43f33b579,150308019,"Calle Compostela, número 8 Pl 2",15004,981.227.516,981.222.759,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
870e7053-5132-4877-b736-48010361f3c3,150308020,"Calle Alcalde Puga y Parga, número 2 Pl 3 (Plaza de Cuatro Caminos)",15006,981.174.030,981.902.044,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
3cc85606-7326-4ac9-b2c2-f518fbc0886d,150308005,"Calle Cantón Pequeño, número 13 Pl 3",15003,981.904.054,981.905.459,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
57e04ff7-f347-4880-be23-0b2cad5bacad,150308015,"Calle Durán Lóriga, número 11 Pl 2",15003,981.225.727,981.226.168,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
03af5760-d50b-4206-8381-bb7e06d2511e,150308018,"Calle Durán Loriga, número 11 Pl 1",15003,981.218.485,981.208.575,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.803899,transform_notarios.py
ae001690-ee8d-4352-830e-17dd29cac8ae,150308022,"Calle Huertas, número 8 Pl 6",15003,981.226.385,981.208.309,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.804898,transform_notarios.py
4e505492-8bd1-4e60-b9d9-cd57a6fa65ad,150308014,"Calle Juana de Vega, número 9 Planta 3",15003,981.223.795,,,31a4a726-c28c-45e1-be18-cc32bc58d3c4,12,15,15030,True,2026-01-27T12:11:36.804898,transform_notarios.py
228a08ea-886a-4d7a-962b-a3c2a80cb434,150315001,"Calle Anxo Senra, número 6 Local",15670,981.612.569,981.667.052,,337d8b32-e5cf-4c3b-93f0-7c51f642a872,12,15,15031,True,2026-01-27T12:11:36.804898,transform_notarios.py
636e5f73-889f-43f0-a6ae-a407179b0f10,150354028,"Rua dos Muiños, número 3",15500,981.340.359,981.340.403,,71aca783-4bfa-4fa1-a396-c1fd1245ba85,12,15,15035,True,2026-01-27T12:11:36.804898,transform_notarios.py
19a26a76-43db-49ae-9c38-21403cd4e07d,150367011,"Calle Galiano, número 42 Bajo",15402,674.307.793,,aboyer@notariado.org,ce1ffa55-c6f4-4998-8bc4-dec28720996b,12,15,15036,True,2026-01-27T12:11:36.804898,transform_notarios.py
8572d7fc-1348-47e2-b0e9-b6386fe4c4b6,150367012,"Calle Dolores, número 23 Pl 1",15402,981.352.199,981.352.278,pgarciahuertos@notariado.org,ce1ffa55-c6f4-4998-8bc4-dec28720996b,12,15,15036,True,2026-01-27T12:11:36.804898,transform_notarios.py
8078f27b-faad-4a1b-8e51-14f4e1f4164e,150367024,"Plaza España, número 32",15402,981.372.520,981.372.518,,ce1ffa55-c6f4-4998-8bc4-dec28720996b,12,15,15036,True,2026-01-27T12:11:36.804898,transform_notarios.py
11763157-10de-4c75-bd4e-07a13ae12f1f,150465043,"Ronda de La Coruña, número 50 Pl 1",15800,981.505.280,981.505.280,,2c84946c-bd44-4496-ae83-a11f8b3a3d02,12,15,15046,True,2026-01-27T12:11:36.804898,transform_notarios.py
ee0e8fb3-52c4-4150-aacf-e14c829d48c4,150510027,"Avenida de Galicia, número 49 Pl 2 B",15620,981.472.181,981.472.228,,c9ade1ae-0e7b-4285-8283-77fc43c83efe,12,15,15051,True,2026-01-27T12:11:36.804898,transform_notarios.py
2db730f8-44df-4009-802c-1bc2a3beef29,150531033,"Calle Axesta, número 57",15250,981.826.087,981.826.087,,7e4178f5-dd24-4740-874f-701fac667f01,12,15,15053,True,2026-01-27T12:11:36.804898,transform_notarios.py
34e75cae-582d-46c8-83a4-6a9e9ec392ae,150525012,"Calle López Abente, número 1 Pl 1 A",15124,981.742.352,981.742.352,,26b047d0-ba04-4cda-a5f2-8a4e5a086d03,12,15,15052,True,2026-01-27T12:11:36.804898,transform_notarios.py
e0cb9a39-1738-4166-8577-0c170ac0d81a,150546032,"Calle San Andrés, número 24 Pl 1",15578,981.391.647,981.391.648,notarianaron@notin.net,f56840bc-8e22-482d-842f-36c70a5323b0,12,15,15054,True,2026-01-27T12:11:36.804898,transform_notarios.py
4173702e-a76d-4804-86a0-e9fca1bfab7f,150546013,"Carretera Carretera de Castilla, número 168 Pl 1",15578,981.397.406,981.397.407,,f56840bc-8e22-482d-842f-36c70a5323b0,12,15,15054,True,2026-01-27T12:11:36.804898,transform_notarios.py
