Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Andalucia Occidental,Cadiz,Algeciras Nº 01,Algeciras,Capilla de San Antón,Capilla,True,Obispado - Diócesis de Cadiz y Ceuta,False
Andalucia Occidental,Cadiz,Algeciras Nº 02,Tarifa,"Finca en El Chaparral, Bolonia, en la que se situa la Ermita del Sagrado Corazón, con sus anejos y dependencias.",Ermita,True,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Algeciras Nº 02,Tarifa,"Cementerio Parroquial de Facinas, con sus anejos y dependencias",Cementerio parroquial,True,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Algeciras Nº 03,Algeciras,"Parcela de terreno en el ""Barrio del Padre Flores""",Parcela urbana,sólo consta parcela,Obispado de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Arcos de la Frontera,Arcos de la Frontera,Iglesia y Antiguo Asilo de la Caridad,Iglesia y asilo de la caridad,True,Congregación Hermanitas Ancianos Desamparados de Arcos de la Frontera,False
Andalucia Occidental,Cadiz,Barbate,Vejer de la Frontera,Iglesia de la Merced,Iglesia,True,Obispado Cádiz-Ceuta,True
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Templo Conversión de San Pablo,Templo,True,Diócesis de Cádiz,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Iglesia del Apostol San Pablo,Iglesia,True,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Real Capilla de Nuestra Señora del Pópulo,Capilla,True,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Templo Catedralicio,Templo catedralício,True,Obispado de Cádiz,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Capilla de Nuestra Señora de las Agustias,Capilla,True,Obispado de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Iglesia de Santa Catalina,Iglesia,True,Obispado de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Sacristía de la Iglesia Parroquial de Nuestra Señora del Rosario,Templo,True,Obispado de Cádiz,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Iglesia Nuestra Señora de la Palma,Iglesia,True,Archicofradía de Nuestra Señora de la Palma,False
Andalucia Occidental,Cadiz,Cadiz Nº 03,Cadiz,Templo Nuestra Señora del Rosario,Iglesia,True,Dominicos Orden de Predicadores,False
Andalucia Occidental,Cadiz,Conil de la Frontera,Conil de la Frontera,Archivo y Salón Parroquial,Casa,False,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Conil de la Frontera,Conil de la Frontera,Equipamiento escolar compatible con el uso religioso,Solar -Equipamiento escolar,False,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Conil de la Frontera,Conil de la Frontera,Iglesia de la Misericordia,Iglesia,True,Diócesis de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 01,Jerez de la Frontera,Iglesia de la Catedral,Iglesia,True,Obispado de Asidonia Jerez de la Frontera,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 01,Jerez de la Frontera,Basílica de Ntra. Sra. de la Merced Coronada,Iglesia,True,Orden de la Merced Provincia de Castilla,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 01,Jerez de la Frontera,Basílica de Ntra. Sra. del Carmen Coronada,Iglesia,True,"Convento de Padres Carmelitas de la Orden  ""Carmelitas Orden del Carmen""",False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 01,Jerez de la Frontera,Templo y dependencias Parroquiales del Corpus Christi,Iglesia,True,Diócesis de Asidonia Jerez de la Frontera,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 02,Jerez de la Frontera,Templo Parroquial de la Resurrección,Templo parroquial,True,Diócesis de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 02,Jerez de la Frontera,Complejo Parroquial y Guarderia Santa Maria,Complejo parroquial,True,Diócesis de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 02,Jerez de la Frontera,Capilla de Nuestra Señora del Portal,Capilla,True,Diócesis de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Complejo Parroquial de la de Nuestra Señora de Fatima,Iglesia y casa rectoral,True,Obispado de Jerez,True
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Ermita de San Telmo,Ermita,True,Obispado de Jerez de la Frontera,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Complejo Parroquial de San Pedro,Complejo parroquial,True,Obispado de Jerez de la Frontera,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Iglesia Parroquial de San Miguel,Iglesia,True,Obispado de Jerez de la Frontera,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Iglesia de las Angustias,Iglesia,True,Obispado de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Capilla de la Yedra,Capilla,True,Obispado de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Capilla de los Desamparados,Capilla,True,Obispado de Asidonia Jerez,False
Andalucia Occidental,Cadiz,Jerez de la Frontera Nº 03,Jerez de la Frontera,Casa,Casa,False,Obispado de Asidonia Jerez,False
Andalucia Occidental,Cadiz,La Linea de la Concepcion,La Linea de la Concepcion,Inmueble,Urbana,False,Obispado de Cáidiz y Ceuta,False
Andalucia Occidental,Cadiz,La Linea de la Concepcion,La Linea de la Concepcion,Inmueble,Urbana,False,Obispado de Cáidiz y Ceuta,False
Andalucia Occidental,Cadiz,La Linea de la Concepcion,La Linea de la Concepcion,Inmueble,Urbana,False,Obispado de Cáidiz y Ceuta,False
Andalucia Occidental,Cadiz,La Linea de la Concepcion,La Linea de la Concepcion,Inmueble,Urbana,False,Obispado de Cáidiz y Ceuta,False
Andalucia Occidental,Cadiz,Medina-Sidonia,Paterna de Rivera,Parroquia Nuestra Señora de Inhiesta,Parroquia,True,Obispado de de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Medina-Sidonia,Benalup-Casas Viejas,Capilla Nuestra Señora de Fátima,Capilla,True,Obispado de de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Medina-Sidonia,Alcala de los Gazules,Santuario Nuestra Señora de los Santos,Santuario,True,Parroquia de San Jorge Mártir de Alcalá de los Gazules,False
Andalucia Occidental,Cadiz,Medina-Sidonia,Medina Sidonia,Ermita de Santa Ana,Ermita,True,Obispado de Cádiz y Ceuta,False
Andalucia Occidental,Cadiz,Olvera,Olvera,Iglesia de la Victoria y Edif. anexo para reuniones de la Parroquia,Iglesia,True,Diócesis de Asidonia Jerez,False
Andalucia Occidental,Cadiz,"Puerto de Santa Maria, el Nº 02",Puerto Real,"Antiguo Templo denominado ""San José"", con sus anejos y dependencias, hoy en día -tras acuerdo entre Diócesis y Ayto de Puerto Real es CENTRO CULTURAL SAN JOSE de gestión municipal.",Templo parroquial,True,Diocésis de Cádiz y Huelva,False
