Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Andalucia Oriental,Almeria,Adra,Barriada La Alqueria- Adra,Parroquia de la Vírgen de las Angustias,Parroquia,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Adra,Barriada La Alqueria- Adra,Ermita de las ánimas,Ermita,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Adra,Barrio de los Pescadores-Adra,dependiente de la Parroquia de la Inmaculada,Ermita,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Adra,Adra,Parroquia de la Inmaculada,Parroquia,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,,Vivienda,False,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Iglesia Vírgen del Mar,Santuario,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Casa Parroquial de la Parroquia de Santa,Vivienda,False,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Iglesia de San Pedro,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Iglesia de San Roque,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Iglesia de San Sebastián,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria,Almeria,Iglesia de San Juan,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Almeria Nº 02,Almeria,Escuela,Escuela,False,Obispado de la Diícesis de Almería,False
Andalucia Oriental,Almeria,Benahadux,Benahadux,Parroquia Santa María de la Cabeza,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Gador,Gador,Templo Parroquial Virgen del Rosario,Templo parroquial,True,Obispado de Almeria,True
Andalucia Oriental,Almeria,Huercal de Almeria,Huercal de Almeria,Parroquia de Santa María,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Huercal de Almeria,Huercal de Almeria,Iglesia Santa María,Dependencias parroquiales,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Huercal de Almeria,Huercal de Almeria,Parroquia de Santa María,Solar,False,Obispado de Almeria,False
Andalucia Oriental,Almeria,Huercal de Almeria,Huercal de Almeria,Parroquia de Santa María,Solar,False,Obispado de Almeria,False
Andalucia Oriental,Almeria,Lucainena de las Torres,Lucainena de las Torres,Templo Parroquial de Nuestra Señora de las Angustias,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Lucainena de las Torres,Lucainena de las Torres,Templo Parroquial de la Parroquia de SAN JUAN BAUTISTA,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Nijar,Nijar,Parroquia de SAN ANTONIO,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Nijar,Nijar,Parroquia de SAN FERNANDO,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Nijar,Nijar,Ermita VIRGEN de FATIMA,Ermita,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Nijar,Nijar,Parroquia de SANTA MARIA,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Nijar,Nijar,Parroquia de SANTA MARÍA,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Pechina,Pechina,Templo Parroquial de San Indalecio,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Pechina,Pechina,Tierra improductiva,Rustica,False,Obispado de Almeria,False
Andalucia Oriental,Almeria,Senes,Senes,Parroquia de Santa María,Templo parroquial,True,Obispado de Almeria,True
Andalucia Oriental,Almeria,Sorbas,Sorbas,Parroquia de Santa María,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,Ermita de SAN ROQUE,Ermita,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,CASA Parroquial,Casa parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,Templo Parroquial,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,Templo Parroquial,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,Ermita VIRGEN de FATIMA,Ermita,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Sorbas,Sorbas,Templo Parroquial de SAN RAMON NONATO,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,Uleila del Campo,Uleila del Campo,Templo Parroquial,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,º,Viator,Templo Parroquial,Templo parroquial,True,Obispado de Almeria,False
Andalucia Oriental,Almeria,º,Viator,Ermita de Nuestra Señora del Carmen,Ermita,True,Obispado de Almeria,False
