Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación ecleSIástica
Aragon,Huesca,Abiego,Abiego,Vivienda-Iglesia,Vivienda-Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Abiego,Abiego,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Adahuesca,Adahuesca,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Adahuesca,Adahuesca,Ermita,Ermita,True,Obispado de Huesca,False
Aragon,Huesca,Alfantega,Alfantega,Iglesia,Iglesia,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Alfantega,Alfantega,Solar,Solar,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Alfantega,Alfantega,Rústica,Rústica,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Alfantega,Alfantega,Rústica,Rústica,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Alquezar,Alquezar,Ermita,Ermita,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Rústica,Rústica,False,Parroquia de Alquézar,False
Aragon,Huesca,Alquezar,Alquezar,Colegiata - Iglesia,Colegiata - Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Parte ermita,Parte ermita,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Ermita,Ermita,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Ermita,Ermita,True,Obispado de Huesca,False
Aragon,Huesca,Alquezar,Alquezar,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Azara,Azara,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Azara,Azara,Rústica,Rústica,False,Obispado de Huesca,False
Aragon,Huesca,Azlor,Azlor,Iglesia,Iglesia,True,Obispado de Huesca,False
Aragon,Huesca,Azlor,Azlor,Solar,Solar,False,Obispado de Huesca,False
Aragon,Huesca,Barbastro,Barbastro,Iglesia,Iglesia,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Capilla - Iglesia,Capilla - Iglesia,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Casa parroquial e iglesia,Casa parroquial e iglesia,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Solar,Solar,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Solar,Solar,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Capilla - Iglesia,Capilla - Iglesia,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Garaje,Garaje,False,Parroquia de la Asunción - Obispado de Barbastro,True
Aragon,Huesca,Barbastro,Barbastro,Ermita-vivienda-almacén,Ermita-vivienda-almacén,True,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Conjunto deportivo,Conjunto deportivo,False,Obispado de Barbastro-Monzón,False
Aragon,Huesca,Barbastro,Barbastro,Solar,Solar,False,Canut / Obispado de Barbastro,False
Aragon,Huesca,Barbastro,Barbastro,Solar,Solar,False,Canut / Obispado de Barbastro,False
Aragon,Huesca,Barbastro,Barbastro,Solar,Solar,False,Canut / Obispado de Barbastro,False
