Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Asturias,Asturias,Aviles Nº 01,San Vicente de Trasona,Iglesia Parroquial,Iglesia,True,Arzobispado de Oviedo,False
Asturias,Asturias,Aviles Nº 01,Santa Maria de Riberas,Casa Rectoral,Casa rectoral,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 01,"Las Cruces, Soto del Barco",Campo la Iglesia,Terreno,False,Santa Iglesia Católica y romana - Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Aviles,Iglesia Parroquial de Santa María Magdalena,Iglesia,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Aviles,Iglesia de San Nicolás,Iglesia,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Aviles,Capilla de San Roque,Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Aviles,Capilla del Santísimo Cristo de Rivero,Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Aviles,Capilla de San Roque,Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Capilla de San Pedro,Terreno,False,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Cementerio de la Parroquia de San Cipriano de Pillarno,Cementerio,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Capilla del Cristo,Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Capilla de los Santos Angeles Custodios,Parroquia,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Terreno que rodea a la Iglesia de Santa María del Mar,Terreno,False,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,Iglesia Parroquial de Santa María del Mar,Iglesia,True,Diócesis de Oviedo,False
Asturias,Asturias,Aviles Nº 02,Castrillon,"Complejo parroquial, Plaza Europa, 2 en Piedras Blancas","Iglesia, vivienda, almacén y locales",True,Diócesis de Oviedo,False
Asturias,Asturias,Cangas de Narcea,Cangas del Narcea,Sótano a local,Local,False,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Cangas de Narcea,Tebongo,Cementerio,Cementerio,True,Arzobispado de Oviedo,False
Asturias,Asturias,Cangas de Narcea,Santa Maria de Cerredo,Pico la Vicha,Huerta rectoral,True,Arzobispado de Oviedo,False
Asturias,Asturias,Cangas de Narcea,San Jorge de Tormaleo,Barrial,Templo parroquial,True,Arzobispado de Oviedo,False
Asturias,Asturias,Cangas de Narcea,Arganza,Iglesia de Santa María de Arganza,Iglesia parroquial,True,Santa Iglesia Católica Apostólica y Romana. Parroquia de Argolibio,False
Asturias,Asturias,Cangas de Onis,Amieva,Terreno de concentración parcelaria,Terreno,False,Santa Iglesia Católica Apostólica y Romana. Parroquia de Argolibio,True
Asturias,Asturias,Cangas de Onis,Cangas de Onis,Terreno,Terreno,False,Santa Iglesia Católica Apostólica y Romana,True
Asturias,Asturias,Cangas de Onis,Cangas de Onis,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Cangas de Onis,Cangas de Onis,Capilla de San Pedro Regalado,Capilla,True,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Cangas de Onis,Onis,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Cangas de Onis,Onis,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Cangas de Onis,Parres,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Cangas de Onis,Parres,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Cangas de Onis,Parres,Terreno de concentración parcelaria,Terreno,False,Arzobispado de Oviedo,True
Asturias,Asturias,Castropol,"Castropol, Figueras",Casa rectoral,Terreno y casa rectoral,True,Diócesis de Oviedo,False
Asturias,Asturias,Castropol,"Coana, Trelles",Casa rectoral y almacenes,"Terreno, casa rectoral y almacenes",True,Diócesis de Oviedo,False
Asturias,Asturias,Castropol,"Coana, Trelles",Terreno rectoral,Terreno,False,Diócesis de Oviedo,False
Asturias,Asturias,Castropol,"Coana, Trelles",Terreno rectoral,Terreno,False,Diócesis de Oviedo,False
Asturias,Asturias,Castropol,Grandas Salime,Terreno y casa rectoral,Terreno y casa rectoral,True,Diócesis de Oviedo,False
Asturias,Asturias,Castropol,Villanueva de Oscos,Huerta del Monasterio,Huerta,False,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 01,Cenero,Ermita de Santa Juliana,Ermita,True,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 01,Cenero,,Terreno,False,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 01,Cenero,Casa Rectoral de Cenero,Casa Rectoral,True,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 01,Cenero,Iglesia de San Juan Bautista,Iglesia,True,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 01,Roces,Casa Rectoral de Roces,Casa Rectoral,True,Diócesis de Oviedo,True
Asturias,Asturias,Gijon Nº 03,,Parroquia San Lorenzo de Carrió,Rústica,False,Arzobisapado de Oviedo,False
Asturias,Asturias,Gijon Nº 03,"C/Enrique Alau, 4, Candas",Casa Rectoral,Casa rectoral,True,Arzobisapado de Oviedo,False
Asturias,Asturias,Gijon Nº 03,"C/ Los Cubos, 3, Candas",,Urbana,False,Diócesis de Oviedo,False
Asturias,Asturias,Gijon Nº 03,"Parroquia de Tamon, Carreno",Casa Rectoral,Casa rectoral,True,Arzobisapado de Oviedo,False
Asturias,Asturias,Gijon Nº 03,"C/Los Cubos, 1, Candas",,Edificio,False,Diócesis de Oviedo,False
Asturias,Asturias,Gijon Nº 03,Fondo-Guimaran,Casa Rectoral,Casa rectoral,True,Diócesis de Oviedo,False
Asturias,Asturias,Gijon Nº 03,Guimaran,Finca rectoral,Urbana,False,Arzobisapado de Oviedo,False
Asturias,Asturias,Gijon Nº 05,Gijon (Parroquia de Caldones),Cementerio de Caldones,Cementerio parroquial,True,Santa Iglesia Católica Apostolica y Romana,False
Asturias,Asturias,Gijon Nº 05,Gijon (Parroquia de Caldones),Iglesia Parroquial de Caldones,Iglesia parroquial,True,Santa Iglesia Católica Apostolica y Romana,False
Asturias,Asturias,Gijon Nº 05,Gijon (Parroquia de Caldones),Terreno destinado a Frutales Secano.,Terreno,False,Santa Iglesia Católica Apostolica y Romana,False
Asturias,Asturias,Gijon Nº 05,Gijon,Iglesia de San Lorenzo,Templo parroquial,True,Santa Iglesia Católica Apostolica y Romana,False
Asturias,Asturias,Gijon Nº 06,"Gijon, Leorio",Monte,Terreno,False,Arzobispado de Oviedo,False
Asturias,Asturias,Gijon Nº 06,"Gijon, Fano",Iglesia y Cementerio de Fano,Iglesia parroquial,True,Arzobispado de Oviedo,False
Asturias,Asturias,Infiesto,Cabranes,,Rústica,False,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Cementerio parroquial de Tresali,Rústica,False,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Iglesia parroquial de Tresali,Iglesia,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Casa rectoral de Tresali,Casa rectoral,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Capilla de Santa Lucía de Ceceda,,False,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Capilla de San Esteban en Viobes,Capilla,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Capilla de San Joaquin y Santa Ana en Quintana,Capilla,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Cementerio de Nava,Cementerio parroquial,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Iglesia parroquial de Nava,Iglesia parroquial,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Nava,Capilla del Perpetuo Socorro en Vegadali,Iglesia,True,Diócesis de Oviedo,True
Asturias,Asturias,Infiesto,Pilona,"Prado donde se ubica la Casa rectoral, el cementerio y el campo de la Iglesia parroquial de Sevares",Iglesia,True,Diócesis de Oviedo,True
Asturias,Asturias,Llanes,Cabrales,Capilla de Santo Tomas de Pandiello,Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Llanes,Llanes,Capilla de San Pedro de Riego,Capilla,True,Arzobispado de Oviedo,False
Asturias,Asturias,Llanes,Llanes,Terreno en Bº de Anteji,Terreno,False,Diócesis de Oviedo,False
Asturias,Asturias,Llanes,Llanes,Casa Rectoral del Bº de la Parada,Parroquia,True,Diócesis de Oviedo,False
Asturias,Asturias,Llanes,Llanes,Huerta de la Casa Rectoral,Parroquia,True,Diócesis de Oviedo,False
Asturias,Asturias,Mieres del Camino,Mieres,"Capilla de Nuestra Señora de Covadonga, en Murias",Capilla,True,Diócesis de Oviedo,False
Asturias,Asturias,Mieres del Camino,Mieres,"Casa Rectoral en Ablaña de Arriba, 102",Casa Rectoral,True,Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Mieres del Camino,Mieres,"Finca “Campo de la Iglesia”, en la que se ubica la Iglesia Parroquial",Iglesia,True,Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Mieres del Camino,Mieres,"“Huerto”, en Ablaña de Arriba, 106",Huerto,False,Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Mieres del Camino,Mieres,"Finca “El Vallín”, Parroquia de Santa Eugenia de Seana",Rústica,False,Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Oviedo Nº 01,"Branes, Parroquia de Santa Maria de Branes, Concejo Oviedo.",Terreno sito en Brañes,Terreno,False,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Oviedo Nº 01,"Branes, Parroquia de Santa Maria de Branes, concejo Oviedo.","Campo de la Iglesia, dentro del cual se ubica la Iglesia Parroquial",Iglesia,True,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Oviedo Nº 01,"Branes, 2, Parroquia de Santa Maria de Branes, Ayto de Oviedo, Vicaria Episcopal de Oviedo-centro",Cementerio parroquial,Cementerio,True,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Oviedo Nº 01,"Terreno al lugar de San Vicente de Villaperez, Ayto de Oviedo, Vicaria episcopal de Oviedo-Centro.","Campo de la Iglesia, dentro del mismo se ubica el Templo parroquial",Templo,True,Santa Iglesia Católica Apostólica y Romana,False
Asturias,Asturias,Oviedo Nº 02,Oviedo,Nalon con Cementerio parroquial Santa María de Trubia,Cementerio,True,Santa Iglesia Católica Apótólica y Romana,True
Asturias,Asturias,Oviedo Nº 02,Santo Adriano,Iglesia parroquial,Iglesia,True,Diócesis de Oviedo,False
Asturias,Asturias,Oviedo Nº 02,Santo Adriano,Ruinas de la Antigua Casa Rectoral,Ruinas casa rectoral,True,Diócesis de Oviedo,False
Asturias,Asturias,Oviedo Nº 02,Santo Adriano,Iglesia parroquial,Cementerio,True,Diócesis de Oviedo,False
Asturias,Asturias,Oviedo Nº 02,Santo Adriano,Iglesia parroquial,Iglesia,True,Diócesis de Oviedo,False
Asturias,Asturias,Oviedo Nº 02,Santo Adriano,Cementerio parroquial,Cementerio,True,Diócesis de Oviedo,False
