Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Baleares,Baleares,Alcudia,Iglesia,Iglesia,Iglesia,True,Parroquia de San Jaime de Alcudia,False
Baleares,Baleares,Alcudia,Edificio de planta baja destinado a templo catolico,Templo,Templo,True,Obispado de Mallorca,False
Baleares,Baleares,Ciutadella,Ciutadellla de Menorca,Casa,Solar,False,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,,Casa,False,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia del Sant Crist,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia parroquial de Sant Francesc,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia del Socors,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Catedral de Menorca,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia del Sant Crist,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia parroquial de Sant Francesc,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Iglesia del Socors,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ciutadella de Menorca,Catedral de Menorca,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ferreries,Iglesia parroquial de Sant Bartomeu,Iglesia,True,Obispado de Menorca,False
Baleares,Baleares,Ciutadella,Ferreries,Rectoría,Rectoria,True,Obispado de Menorca,False
Baleares,Baleares,Eivissa nº 1,,Can Rabell,Casa,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 1,,Solar,Solar,False,Iglesia parroquial Salvador,True
Baleares,Baleares,Eivissa nº 1,,"Piso alto y desván, forman parte de la Iglesia de San Salvador",Piso alto y desván,False,Iglesia parroquial Salvador,True
Baleares,Baleares,Eivissa nº 1,,Palacio Episcopal,Palacio Episcopal,True,Santa Iglesia Católica Apostólica y Romana,False
Baleares,Baleares,Eivissa nº 1,,Destinado a recreo del Prelado diocesano,Jardín,False,Santa Iglesia Católica Apostólica y Romana,False
Baleares,Baleares,Eivissa nº 1,,Casa-Habitación del Reverendo Custor de la Iglesia de Santo Domingo,Casa-Habitación,False,Santa Iglesia Católica Apostólica y Romana,False
Baleares,Baleares,Eivissa nº 1,,Casa-Convento de las  Canonesas agustinas,Convento,True,Santa Iglesia Católica Apostólica y Romana,False
Baleares,Baleares,Eivissa nº 1,,Lugar de recreo de las religiosas Canonesas agustinas,Jardín,False,Santa Iglesia Católica Apostólica y Romana,False
Baleares,Baleares,Eivissa nº 1,,Complejo escolar SA Real: Edif. JUAN XXIII,Complejo escolar,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 1,,Iglesia del Hospitalet,Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 1,,Parcela,Parcela,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 1,,Casa de la Iglesia/Cruz Roja,Local,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 1,,Catedral de Santa Maria de Ibiza,Catedral,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 1,,Templo de San Salvador de la Marína -Sant Elm,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 1,,Casa de la Iglesia/Cruz Roja,Edificio,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 1,,Convent de San Vicent Ferrer i Sant Jaume,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 1,,Covento de Sant Cristofol –Monastir de Canongesses Regulars de Sant Agusti,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 2,Eivissa,Templo de Sant Jordi,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 2,Eivissa,Templo de Sant Agustí,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 2,Eivissa,Templo de San José,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 2,Eivissa,Templo de San Francisco de Paula,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Templo nombrado ""Sant Joan Baptista"" y dependencias parroquiales",Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Templo nombrado ""Sant Miquel""",Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Porción de tierra de secano y bosque conocida por ""Sa Clutada des Puig des Masons"", Venda de C'as Ripolls",Tierra de secano y bosque,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Eivissa nº 3,,Solar con una edificación de 7 m2. destinada a almacén,Solar con almacén,False,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Templo nombrado ""Santa Eularia""",Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Templo nombrado ""Santa Gertrudis"" y dependencias parroquiales",Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Eivissa nº 3,,"Templo nombrado ""Sant Carles""",Iglesia,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Formentera,Formentera,Mare de Deu del Pilar,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Formentera,Formentera,Cementerio del Pilar,Cementerio,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Formentera,Formentera,Sant Ferran,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Formentera,Formentera,San Francisco Javier,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Sant Antoni,Sant Antoni,Sin nombre,Parcela de terreno,False,Obispado de Ibiza y Formentera,True
Baleares,Baleares,Sant Antoni,Sant Antoni,Santa Agnes,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Sant Antoni,Sant Antoni,Sant Mateu,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Sant Antoni,Sant Antoni,Sant Rafel,Templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Sant Antoni,Sant Antoni,San Antonio Abad,Centro parroquial y templo,True,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Sant Antoni,Sant Antoni,Sin nombre,Parcela de terreno,False,Obispado de Ibiza y Formentera,False
Baleares,Baleares,Felanitx,Felanitx,Oratorio de Sant Joan Baptista,Oratorio,True,Iglesia de Mallorca,False
Baleares,Baleares,Felanitx,Felanitx,Oratorio El Calvari,Oratorio,True,Iglesia de Mallorca,False
Baleares,Baleares,Felanitx,Felanitx,Oratorio Inmaculada Concepción,Oratorio,True,Iglesia de Mallorca,False
Baleares,Baleares,Felanitx,Felanitx,"Rectoria, rellano Iglesia y timba",Rectoria,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx,Felanitx,Iglesia y vicaria Son Mesquida,Iglesia,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx,Felanitx,Iglesia y Casa parroquial S' Horta,Iglesia,True,Obispado de Mallorca,False
Baleares,Baleares,Campos,Campos,Terreno en Sa Rápita,Terreno,False,Parroquia de San Julián de Campos del Puerto,False
Baleares,Baleares,Campos,Campos,Iglesia de San Julian,Iglesia,True,Obispado de Mallorca,False
Baleares,Baleares,Porreres,Porreres,Iglesia y Casa parroquial,Iglesia,True,Obispado de Mallorca,False
Baleares,Baleares,Porreres,Porreres,Oratorio Santo Cristo del Hospital,Oratorio,True,Obispado de Mallorca,False
Baleares,Baleares,Porreres,Porreres,Ermita de Santa Cruz,Ermita,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx Nº 02,Santanyi,Rectoría,Rectoría,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx Nº 02,Santanyi,Santuario,Santuario,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx Nº 02,Santanyi,Iglesia,Iglesia,True,Obispado de Mallorca,False
Baleares,Baleares,Felanitx Nº 02,Santanyi,Iglesia y Casa parroquial,Iglesia  y casa parroquial,True,Obispado de Mallorca,False
Baleares,Baleares,Inca Nº 01,"Parroquia en Plaza Jardi, 1",Complejo parroquial,Complejo parroquial,True,Parroquia de Santa Maria La Mayor,False
Baleares,Baleares,Inca Nº 01,"Iglesia en Plaza Santa Maria la Mayor, 1",Iglesia,Iglesia,True,Parroquia de Santa Maria La Mayor,False
Baleares,Baleares,Inca Nº 01,"Iglesia en Plaza Santo Domingo, 1",Iglesia,Iglesia,True,Parroquia de Santo Domingo de Inca,False
Baleares,Baleares,Inca Nº 01,"Antiguo Convento de las Hermanas Franciscanas de Lloret de Vista Alegre, en C/ Ses Monges, 2",Convento,Convento,True,Obispado de Mallorca,False
Baleares,Baleares,Inca Nº 01,"Templo parroquial con sacristia y edificaciones anejas, en la Plaza de L' Esglesia, 1",Templo parroquial,Templo parroquial,True,Obispado de Mallorca,False
Baleares,Baleares,Inca Nº 01,"Casa parroquial de la Plaza Jaume I, 14",Casa parroquial,Casa parroquial,True,Parroquia de Nuestra Señora de Loreto,False
Baleares,Baleares,Inca Nº 01,"Casa parroquial de la Plaza d ' Alt, 5",Casa parroquial,Casa parroquial,True,Parroquia de Nuestra Señora de la Salut,False
Baleares,Baleares,Inca Nº 01,"Iglesia de la Plaza d' Alt,  1",Iglesia,Iglesia,True,Parroquia de Nuestra Señora de la Salut,False
