Comunidad Autónoma,Provincia,REGISTRO,Municipio,Descripción,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Comunidad Valenciana,Alicante,Alcoy Nº 01,Alcoy,"Templo Parroquial, Casa Abadia y Locales",Iglesia,True,Parroquia de la Natividad de Nuestra Señora de Alcoy,True
Comunidad Valenciana,Alicante,Alcoy Nº 01,Alcoy,Reserva de Aprovechamiento Urbanistico,Iglesia,True,Parroquia de la Natividad de Nuestra Señora de Alcoy,True
Comunidad Valenciana,Alicante,Alcoy Nº 01,Banyeres de Mariola,Templo Parroquial,Iglesia,True,Parroquia de Nuestra Señora de la Misericordia de Banyeres,True
Comunidad Valenciana,Alicante,Alcoy Nº 01,Benifallim,Templo Parroquial,Iglesia,True,Parroquia de San Miguel Arcángel de Benifallin,True
Comunidad Valenciana,Alicante,Alcoy Nº 01,Penaguila,Templo Parroquial,Iglesia,True,Parroquia de la Asunción de Nuestra Señora de Penaguila,True
Comunidad Valenciana,Alicante,Alcoy Nº 01,Penaguila,Cementerio Parroquial,Iglesia,True,Parroquia de la Asunción de Nuestra Señora de Penaguila,True
Comunidad Valenciana,Alicante,Alicante Nº 01,Alicante,Concatedral de San Nicolás,Concatedral,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Alicante Nº 03,"Poligono 10, Parcela 139 de Moralet, Alicante",Ermita de San Antonio de Padua,Rustica,False,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Alicante Nº 04,Alicante,Iglesia Parroquial de San José,Iglesia,True,Parroquia de Villafranqueza,False
Comunidad Valenciana,Alicante,Alicante Nº 05,Mutxamel,Iglesia Parroquial El Salvador,Iglesia,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Alicante Nº 05,Sant Joan D'Alacant,Iglesia Parroquial de San Juan Bautista,Iglesia,True,Parroquia de San Juan Bautista de Alicante,False
Comunidad Valenciana,Alicante,Almoradi,Almoradi,Ermita del Corazón de Jesús,Ermita,True,Obispado Orihuela Alicante,False
Comunidad Valenciana,Alicante,Almoradi,Almoradi,Parroquia San Andrés,Parroquia,True,Obispado Orihuela Alicante,False
Comunidad Valenciana,Alicante,Aspe,Aspe,Basílica Parroquial de Nuestra Señora del Socorro,Basilica,True,Obispado de Alicante,False
Comunidad Valenciana,Alicante,Aspe,Aspe,Ermita de Nuestra Señora de Fátima,Ermita,True,Obispado de Alicante,False
Comunidad Valenciana,Alicante,Aspe,Aspe,Ermita de la Santa Cruz,Ermita,True,Obispado de Alicante,False
Comunidad Valenciana,Alicante,Benidorm Nº 03,Benidorm,Iglesia Parroquial de Santiago Apostol,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Benissa,Benissa,Edificio,Parroquia,True,Parroquia de la Purísima Concepción de San Pedro Apostol de Benissa,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Iglesia y Edificación destinada al Colegio,Iglesia y Edificación destinada al Colegio,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Cox,Parroquia,Parroquia,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Cox,Convento del Carmen en Cox,Edificio que alberga el Convento del Carmen del Cox,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Granja de Rocamora,Local,Local,False,Obispado de Orihuela Alicante,True
Comunidad Valenciana,Alicante,Callosa de Segura,San Isidro,Iglesia ParroquiaL,Iglesia ParroquiaL,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Granja de Rocamora,Cementerio Parroquial,Cementerio Parroquial,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Granja de Rocamora,Iglesia Parroquial de San Pedro,Iglesia Parroquial,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Ermita de los Dolores,Ermita,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Iglesia Parroquial Nuestra Señora de los Dolores.,Iglesia Parroquial,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Ermita de San Roque,Ermita de San Roque,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Local para actividades pastorales,Local,False,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Albatera,Iglesia de Santiago Apóstol,Iglesia,True,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Vivienda Parroquial,Vivienda,False,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa de Segura,Callosa de Segura,Casa del clero parroquial,Casa,False,Obispado de Orihuela Alicante,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,L'Alfas del Pi,,Centro parroquial,True,Iglesia parroquial de Alfaz del Pi,True
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,L'Alfas del Pi,,Viviendea,False,Iglesia parroquial de Alfaz del Pi,True
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,L'Alfas del Pi,Iglesia Parroquial de San José,Iglesia,True,Iglesia parroquial de Alfaz del Pi,True
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,L'Alfas del Pi,,Iglesia,True,Obispado de Orihuela,True
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Guadalest,Iglesia Parroquial de San José,Iglesia,True,Parroquia de Nuestra Señora de la Asunción de Guadalest,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Famorca,Paroquia de San Cayetano,Iglesia,True,Parroquia de San Cayetano de Famorca,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Beniarda,,Terreno,False,Parroquia de San Juan Bautista,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Beniarda,,Terreno,False,Parroquia de San Juan Bautista,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Beniarda,,Terreno,False,Parroquia de San Juan Bautista,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Beniarda,,Terreno,False,Parroquia de San Juan Bautista,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Beniarda,Iglesia Parroquial de San Juan Bautista,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Benifato,Iglesia Parroquial de San Miguel Arcángel,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Benimantell,Iglesia Parroquial de San Vicent,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Bolulla,Parroqui de San José,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Callosa D'En Sarria,Iglesia Parroquial de San Juan Bautista,Iglesia,True,Obispado de Orihuela,False
Comunidad Valenciana,Alicante,Callosa D´ en Sarria Nº 01,Confrides,Iglesia Parroquial de San José,Iglesia,True,Obispado de Orihuela,False
