Comunidad Autónoma,Provincia,REGISTRO,Municipio,Título,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Iglesia Parroquial de Santa María de la Asunción,Iglesia,True,Parroquia de Castro Urdiales,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar en Bº DE ISLARES 23 en el pueblo de Islares dentro del cual se encuentra:  A.- La Iglesia Parroquial de San Martín de Tours B.- La Casa Rectoral, y vivienda C.- Cementerio Parroquial",Iglesia,True,Parroquia de Islares,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Parcela al sitio de San Nicolás de Arriba, hoy c/ Menéndez Pelayo",Parcela,False,Obispado de Santander,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Un terreno a prado en el pueblo de Sámano, paraje de El Moral, sitio de LA CALERA",Terreno Rustico,False,Capellania de Samano,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar en  EL MORAL, de Sámano",Suelo rustico,False,Capellania de Samano,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Terreno a Monte bajo Sito en el Pueblo de Cerdigo, Sitio de el Pueblo Ó de la Iglesia",Terreno Rustico,False,Iglesia parroquial de Cerdigo,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Capilla de la ""santa Cruz"", en Estado Semiruinoso",Capilla,True,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"CASA sita en Otañes, 87",Casa,False,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar en Bº DE SÁMANO-SANGAZO 274,  pueblo de Montealegre, dentro del cual se encuentra la Casa Parroquial",Casa parroquial,True,Parroquia de Montealegre,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Solar en Bº SÁMANO-SANGAZO 273 pueblo de Montealegre dentro del cual se encuentra 1 edificio con diversos usos: A) Uso industrial:  B) Vivienda: C) Almacén,Edificio,False,Parroquia de Montealegre,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Suelo en Bº SÁMANO-SANGAZO 274 (A) En pueblo de Montealegre,Suelo Urbano,False,Parroquia de Montealegre,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Ermita de El Carmen,Ermita,True,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Suelo en Bº de Otañes, Barcena 123 (D),  del pueblo de Otañes. Destinado a cementerio parroquial.",Cementerio parroquial,True,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Iglesia parroquial de Santa María de Llorera en Bº Otañes, Barcena 123 (C),  pueblo de Otañes",Iglesia,True,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Ermita de ""La Milagrosa"" en la parroquia de Santullán, Bº de Lusa 1 (B)",Ermita,True,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Cementerio parroquial sito de Santullán 8(F),Cementerio parroquial,True,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Suelo sin edificar (Prados ó praderas 02) sito en Santullán, al sitio de ""MOMEÑEZ""",Terreno Rustico,False,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Suelo sin edificar (huerta secano 00) sito en Santullán, al sitio de ""MOMEÑEZ""",Terreno Rustico,False,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar catalogado como Agrario (Prados ó praderas 02) sito en Santullán, al sitio de ""MOMEÑEZ""",Terreno Rustico,False,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar catalogado como Agrario (Prados ó praderas 03) sito en Santullán,al sitio de ""LA SUMA""",Terreno Rustico,False,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar catalogado como Agrario (Prados ó praderas 03) sito en Santullán,al sitio de ""LA SUMA""",Terreno Rustico,False,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Iglesia parroquial de San Julián en Bº Santullán,Iglesia,True,Parroquia de Santullan,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Iglesia parroquial de San Andrés en Bº DE SÁMANO-MONTEALEGRE  258 (A),Iglesia,True,Parroquia de Montealegre,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,La Iglesia parroquial de La Purísima Concepción. B.- Un pequeño aparcamiento ó garaje del Bº de Onton,Iglesia,True,Parroquia de Onton,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,Casa parroquial adosada a la parte sur de la Iglesia parroquial en el Bº DE ONTÓN 29,Casa parroquial,True,Parroquia de Onton,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Ermita de Talledo, bajo la advocación de Nuestra Señora de la Virgen del Carmen  en el pueblo de Ontón",Ermita,True,Parroquia de Onton,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Terreno situado en EL ÁNGULO, del pueblo de Otañes, catalogado como ""Agrario""",Terreno Rustico,False,Parroquia de Otañes,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,IGLESIA PARROQUIAL bajo la advocación de San Juan Evangelista en el pueblo de Cerdigo,Iglesia,True,Parroquia de Allendelagua de Cerdigo,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Urbana en el Bº DE ONTÓN 14, en el pueblo de Ontón",Cementerio parroquial,True,Parroquia de Onton,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Ermita de Baltezana, bajo la advocación de San Juan Bautista en Bº DE BALTEZANA  151 (A), en el pueblo de Ontón",Ermita,True,Parroquia de Onton,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Solar en el pueblo de Allendelagua, destinado a Cementerio Parroquial",Cementerio parroquial,True,Parroquia de Allendelagua de Cerdigo,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"Casa rectoral del Bº de Talledo, 15 del pueblo de Ontón",Casa rectoral,True,Obispado de Santander,True
Cantabria,Cantabria,Castro-Urdiales,Castro Urdiales,"PARCELA 6, de una finca sita en ésta Ciudad, en la zona de la Playa.",Suelo Urbano,False,Obispado de Santander,True
Cantabria,Cantabria,Guriezo,Guriezo,"Terreno sito en Agüera, paraje EL ESCOBAL, Bº de Llaguno",Terreno Rustico,False,Ermita de San Antonio de Padua,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita del CRISTO en Bº del Puente, 14 A",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita de Santa Ana, sitio de La Llosa de Santa Ana",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita de Santa Isabel en el Bº de Nocina, 33 A",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita de SAN MAMES en Bº de Lugarejos, 8 A",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita de SAN BLAS en Bº de La Revilla, 14 A",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita VIRGEN DE LAS NIEVES en Bº de  Landeral, 40 A",Ermita,True,Parroquia de Guriezo,True
Cantabria,Cantabria,Guriezo,Guriezo,"Ermita de San Juan en Bº de Angostina, s/n",Ermita,True,Parroquia de Guriezo,True
