Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Casa parroquial de Ramacastañas,Casa Parroquial,True,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Templo parroquial de Ramacastañas,Templo Parroquial,True,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Templo parroquial de la Parra,Templo Parroquial,True,Parroquia de San Pedro Advincula,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Templo parroquial de Arenas,Templo Parroquial,True,Parroquia de Nuestra Señora de la Asuncion,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Templo parroquial Monjas Agustinas,Templo,True,Parroquia de Nuestra Señora de la Asuncion,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Convento-Santuario,Terreno y convento,True,Orden de Frailes Menores Franciscanos,False
Castilla-Leon,Avila,Arenas de San Pedro,Arenas de San Pedro,Iglesia de Hontanares,Iglesia,True,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,Terreno Rústico,Finca Rustica,False,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,Terreno Rústico,Finca Rustica,False,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,Terreno Rústico,Finca Rustica,False,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,Terreno Rústico,Finca Rustica,False,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,Terreno Rústico,Finca Rustica,False,Parroquia de Nuestra Señora del Rosario,False
Castilla-Leon,Avila,Candeleda,Candeleda,"Templo parroquial, Casa Parriquial y Salón parroquial",Templo Parroquial,True,Parroquia de Santiago Apostol,False
Castilla-Leon,Avila,Candeleda,Candeleda,Templo parroquial,Templo Parroquial,True,Parroquia de Nuestra Señora de la Asuncion,False
Castilla-Leon,Avila,Candeleda,Candeleda,Ermita de San Blas,Ermita,True,Parroquia de Nuestra Señora de la Asuncion,False
Castilla-Leon,Avila,Candeleda,Candeleda,Casa parroquial,Casa Parroquial,True,Parroquia de Nuestra Señora de la Asuncion,False
Castilla-Leon,Avila,Candeleda,Candeleda,Edificio destinado a Culto,Edificio,False,Parroquia de Nuestra Señora de la Asuncion,False
