Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Aceuchal,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Almendralejo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Almendralejo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Almendralejo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Almendralejo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Almendralejo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Corte de Peleas,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Corte de Peleas,Casa parroquial,Casa parroquial,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Entrin Bajo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Entrin Bajo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Entrin Bajo,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Hinojosa,Templo,Templo,True,Arzobispado de Mérida,False
Extremadura,Badajoz,Almendralejo,Hornachos,Templo,Templo,True,Arzobispado de Mérida,False
