Comunidad Autónoma,Provincia,REGISTRO,Municipio,Título,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Galicia,A Coruna,A Coruna Nº 01,Coruna,"Complejo Parroquial, de la Parroquia de San Pedro de Mezonzo",Complejo Parroquial,True,Parroquia de San Pedro de Mezonzo,True
Galicia,A Coruna,A Coruna Nº 01,Coruna,Templo de San Andres,Templo,True,Parroquia de San Nicolás de A Coruña,True
Galicia,A Coruna,A Coruna Nº 01,Coruna,Templo y Complejo Parroquial de San Nicolas,Templo y Complejo Parroquial,True,Parroquia de San Nicolas de  A Coruña,True
Galicia,A Coruna,A Coruna Nº 02,A Coruna,"Iglesario, rúa Lagares, 2",Iglesia,True,Parroquia de San Pedro de Visma-A Coruña,False
Galicia,A Coruna,A Coruna Nº 02,A Coruna,"Capilla del Santo Cristo, Casa rectorial vieja, Casa coadjutor, Casa del Sacristán, Aula, Salón Parroquial, Alpedre e Iglesario ubicado en calle Río, 1","Capilla, Casa Rectoral",True,Parroquia de San Pedro de Visma-A Coruña,False
Galicia,A Coruna,A Coruna Nº 02,A Coruna,"Templo y Atrio-cementerio parroquial, Casa Rectoral e Iglesario ubicado en San Cristobo das Viñas, 19","Templo, Atrio-cementerio",True,Parroquia de San Cristobo de Coruña-As Viñas,False
Galicia,A Coruna,A Coruna Nº 02,A Coruna,"Templo y Atrio parroquial, ubicado en Feáns, 2, parroquia de San Fernando de Coruña","Templo, Atrio Parroquial",True,Parroquia de San Fernando de Coruña,False
Galicia,A Coruna,A Coruna Nº 02,A Coruna,"Templo, Atrio-Cementerio parroquial y Casa Rectoral uibicado en rúa Iglesia de Elviña, 9","Templo, Atrio-cementerio Parroquial y Casa Rectoral",True,Parroquia de San Vicente de Coruña-Elviña,False
Galicia,A Coruna,Culleredo,Culleredo,Labradío y prado que denominan SUA IGLESIA.,Labradío y prado,False,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,"Secano sito en Casal, denominado HUERTA DEL CURA.",Secano,False,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,"Secano sito en Casal, denominado HUERTA DEL CURA.",Secano,False,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,Parcela en la que radica una casa compuesta de planta baja y piso alto señalada con el número nueve de la Calle San Iago.,Casa,False,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,"Finca en la cual se encuentra la Iglesia Parroquial, el Atrio y el Cementerio de la Parroquia del Divino Salvador de Orro, situada en el lugar de BARRAL, sin número.","Iglesia, atrio y cementerio",True,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,"Finca en la cual se encuentran las ruinas de la Casa Rectoral anexa a la Iglesia Parroquial del Salvador de Orro, situada en el lugar de Barral, sin número.",Casa rectoral,True,Arzobispado de Santiago de Compostela,False
Galicia,A Coruna,Culleredo,Culleredo,"CASA RECTORAL e IGLESIARIO, ubicado en Lugar de Choeira, número doce, de la parroquia de San Xulián de Almeiras.",Casa rectoral e iglesario,True,Parroquia de San Julián de Almeiras,False
Galicia,A Coruna,Culleredo,Culleredo,"PARCELA VIGOVIDÍN, ubicada en Vigovidín, de la parroquia de San Xulián de Almeiras.",Parcela urbana,False,Parroquia de San Julián de Almeiras,False
Galicia,A Coruna,Culleredo,Culleredo,"TEMPLO y ATRIO-CEMENTERIO PARROQUIAL, ubicado en VIGOVIDÍN, de la parroquia de San Xulián de Almeiras.","Templo, atrio y cementerio",True,Parroquia de San Julián de Almeiras,False
Galicia,A Coruna,Culleredo,Culleredo,"CEMENTERIO PARROQUIAL, ubicado en PEIRO DE ARRIBA, de la parroquia de San Silvestre de Veiga.",Cementerio,True,Parroquia de San Silvestre de Veiga,False
Galicia,A Coruna,Culleredo,Culleredo,"TEMPLO PARROQUIAL, ubicado en PEIRO DE ARRIBA, de la parroquia de San Silvestre de Veiga.",Templo,True,Parroquia de San Silvestre de Veiga,False
Galicia,A Coruna,Culleredo,Culleredo,"TEMPLO y ATRIO PARROQUIAL, ubicado en Rúa do Concello, de la parroquia de San Esteban de Culleredo.",Templo y atrio,True,Parroquia de San Esteban de Culleredo,False
