Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Madrid,Madrid,Alcala de Henares Nº 02,Campo Real,Ermita de la Virgen de los Remedios,Ermita,True,Obispado de Alcalá de Henares,False
Madrid,Madrid,Alcala de Henares Nº 04,Valdilecha,Parcela El Cubillo,Rústica,False,Obispado de Alcalá de Henares,False
Madrid,Madrid,Alcala de Henares Nº 04,Valdilecha,Parcela los Morales,Rústica,False,Obispado de Alcalá de Henares,False
Madrid,Madrid,Alcala de Henares Nº 05,Alcala de Henares,Iglesia Catedral-Magistral,Catedral,True,Obispado de Alcalá de Henares,False
Madrid,Madrid,Alcobendas Nº 02,Alcobendas,San Pedro,Iglesia,True,Arzobispado de Madrid,False
Madrid,Madrid,Alcorcon nº 1,Alcorcon,IGLESIA PARROQUIAL bajo la advocación de Santa María la Blanca,Iglesia parroquial,True,Diócesis de Getafe,True
Madrid,Madrid,Aranjuez,Aranjuez,IGLESIA PARROQUIAL bajo la advocación de Nuestra Señora de las Angustias,Iglesia,True,Diócesis de Getafe,False
Madrid,Madrid,Arganda del Rey Nº 01,Brea de Tajo,Casa Parroquial,Casa parroquial,True,Parroquia de la Asunción de Nuestra Señora de Brea de Tajo,False
Madrid,Madrid,Arganda del Rey Nº 01,Morata de Tajuna,Parcela,Parcela,False,Parroquia de la Asunción de Nuestra Señora de Brea de Tajo,False
Madrid,Madrid,Arganda del Rey Nº 01,Morata de Tajuna,Parcela,Parcela,False,Parroquia de la Asunción de Nuestra Señora de Brea de Tajo,False
Madrid,Madrid,Arganda del Rey Nº 01,Morata de Tajuna,Parcela,Parcela,False,Parroquia de la Asunción de Nuestra Señora de Brea de Tajo,False
Madrid,Madrid,Boadilla del Monte,Boadilla del Monte,IGLESIA PARROQUIAL de San Cristóbal,Iglesia,True,Diócesis de Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Ermita,Urbana,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Chinchon,Ermita,Rustica,True,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Chinchon,Ermita,Urbana,True,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Villaconejos,Iglesia Parroquial,Urbana,True,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Cementerio Católico,Cementerio católico,True,Diócesis Getafe,True
Madrid,Madrid,Chinchon,Valdelaguna,Iglesia Parroquial,Urbana,True,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Belmonte de Tajo,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Belmonte de Tajo,Iglesia Parroquial,Urbana,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Tierra,Rústica,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Ermita,Urbana,True,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Colmenar de Oreja,Iglesia Parroquial,Urbana,False,Diócesis Getafe,False
Madrid,Madrid,Chinchon,Belmonte de Tajo,Casa,Urbana,False,Caritas Diocesana Madrid y Hermanas de la Caridad de Cardena Sancha,True
Madrid,Madrid,Chinchon,Chinchon,Iglesia Parroquial,Urbana,True,Diócesis Getafe,False
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Tierra de labor secano,  en el paraje de VACIASILOS",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje Eras",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje Mesa",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje CELADA",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje CODRIOS",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje de Viña Larga",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje de Viña Larga",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje Matagallegos",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor secano,  en el Paraje Codrios",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor regadío,  en el Paraje Artesones",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor regadío,  en el Paraje Ollea",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor regadío,  en el Paraje Ollea",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor regadío,  en el Paraje Chocolate",Rústica,False,Diócesis de Getafe,True
Madrid,Madrid,Ciempozuelos,Ciempozuelos,"Finca de labor regadío,  en el Paraje Madrevieja",Rústica,False,Diócesis de Getafe,True
