Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Murcia,Murcia,Aguilas,Aguilas,Parroquial San José,Templo,True,Obispado de Cartagena Sede Plena,False
Murcia,Murcia,Alcantarilla,Alcantarilla,San José,Iglesia,True,Obispado de Cartagena,False
Murcia,Murcia,Alcantarilla,Alcantarilla,,Vivienda,False,Obispado de Cartagena,False
Murcia,Murcia,Alcantarilla,Alcantarilla,Nuestra Señora de la Paz,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Alcantarilla,Alcantarilla,Nuestra Señora de la Salud,Erimita,True,Obispado de Cartagena,False
Murcia,Murcia,Alcantarilla,Alcantarilla,San Pedro,Complejo parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Solar,Terreno No Edificado,False,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Solar,Terreno No Edificado,False,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Ermita Nuestra Señora de la Cabeza,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Casas sacerdotal d,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Ermita de San Pedro de la Costera,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Edificaciones,Iglesia,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Parroquia San Lázaro de Obispo,Salón Parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Templo parroquial,Tempo parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Cementerio,Cementerio,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Iglesia,Iglesia,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Iglesia,Iglesia,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Casas sacerdotal,Casas sacerdotal,True,Obispado de Cartagena,False
Murcia,Murcia,Alhama de Murcia,Alhama de Murcia,Casas de legaz,Rustico,False,Obispado de Cartagena,False
Murcia,Murcia,Librilla,Librilla,Edificación,Edificación,destinado a culto,Obispado de Cartagena,False
Murcia,Murcia,Librilla,Librilla,Vivienda parroquial,Vivienda parroquial,vivienda parroquial,Obispado de Cartagena,False
Murcia,Murcia,Librilla,Librilla,Templo parroquial,Templo parroquial,destinado a culto,Obispado de Cartagena,False
Murcia,Murcia,Archena,Archena,Parroquia de San Juan Bautista,Urbana,False,Obispado de Cartagena,False
Murcia,Murcia,Archena,Ceuti,Solar,Urbana,False,Obispado de Cartagena,False
Murcia,Murcia,Calasparra,Calasparra,Iglesia de los Santos,Templo y Salones,True,Obispado de Cartagena,False
Murcia,Murcia,Calasparra,Calasparra,Casa Parroquial,"Salones, Despacho y Casa Parroquial",True,Obispado de Cartagena,False
Murcia,Murcia,Calasparra,Calasparra,Iglesia Parroquial San Pedro Aposto,Iglesia Parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Calasparra,Calasparra,Iglesia de la Merced,Iglesia,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Templo Parroquial San Francisco,Parroquia,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Salón Parroquial San Francisco,Salón Parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Casa Sacerdotal,Casa,False,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Templo Parroquial,Parroquia y Vivienda,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Casa Parroquial,Casa Parroquial y Almacenes,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Ermita Nuestra Sra. Encarnación,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Conjunto parroquial y salon,Iglesia-Salón Parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Conjunto parroquial,Templo Parroquial y Vivienda,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Ermita y almacen,Ermita-Almacén,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Cementerio El Moral,Cementerio,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Templo en el Moralejo,Templo,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Templo y salon parroquial,Templo y Salón Parroquial,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,Ermita Santa Elena,Ermita,True,Obispado de Cartagena,False
Murcia,Murcia,Caravaca,Caravaca,No Consta,No Consta,False,Obispado de Cartagena,False
