Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Navarra,Navarra,Aoiz nº 01,Abaurrea Alta,Templo parroquial  de San Pedro,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz nº 01,Abaurrea Baja,Templo Parroquial de San Martin,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Aoiz,TEMPLO PARROQUIAL de San Miguel,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Aoiz,"Casa Parroquial en C/ San Miguel, 1-C",Casa parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Aoiz,ATRIO en C/ San Miguel,Atrio,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Aoiz,"GARAJE en C/ San Miguel,  1-C. Es la finca del Políg. 2, Parc. 8",Garaje,False,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Aoiz,"Tierra de Labor, en el Término ""legarrea""",Rustica,False,,True
Navarra,Navarra,Aoiz,Aranguren,Templo parroquial  de San Vicente,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Laquidain,Templo parroquial  de San Martin,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Zolina,Templo parroquial de San Esteban Protomártir,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Zolina,"Tierra de labor en paraje de LABEREKU, Valle de Aranguren",Rustica,False,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Tajonar,Templo parriquial  de los Santos Emeterio y Celedonio,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Labiano,Templo parroquial  de la Purificación,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Aoiz,Labiano,"Solar situado C/ Bilabakoiz, 10-A",Solar,False,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Nagore,Ermita de Nuestra Señora del Camino,Ermita,True,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Arrieta,Ermita conocida  de SAN MARTIN,Ermita,True,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Nagore,"Casa Parroquial en C/ San Julian, 36",Casa parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Saragueta,"Finca de Labor en Paraje ""sagardi"", Actualmente C/ San Juan, de Saragüeta.",Rustica,False,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Imizcoz,TEMPLO PARROQUIAL de San Pedro,Templo parroquial,True,Diócesis de Pamplona,False
Navarra,Navarra,Arce,Azparren,TEMPLO PARROQUIAL  de San Martin,Templo parroquial,True,Diócesis de Pamplona,False
