Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Pais Vasco,Alava,Amurrio,Ayala,"Pueblo Maroño, Las Pasadas",Rústica,False,Parroquia de San Pedro Apóstol de Maroño,True
Pais Vasco,Alava,Amurrio,Lezama,"Pueblo Larrinbe, Eleixale",Iglesia,True,Parroquia de San Pedro Apóstol de Larrinbe,True
Pais Vasco,Alava,Amurrio,Lezama,"Pueblo Barambio, Garrastatxu",Rústica,False,Parroquia de la Asunción de Barandio,True
Pais Vasco,Alava,Amurrio,Lezama,"Pueblo Barambio, Garrastatxu",Rústica,False,Parroquia de la Asunción de Barandio,True
Pais Vasco,Alava,Amurrio,Llodio,Barrio Areta,Iglesia,True,Parroquia de Santa Ana de Llodio,True
Pais Vasco,Alava,Amurrio,Okondo,Ermita San Prudencio,Ermita,True,Parroquia de San Román de Okondo,True
Pais Vasco,Alava,Amurrio,Urkabustaiz,Iglesia San José de Izarra,Iglesia,True,Parroquia de la Natividad de Nuestra Señora de Izarra,True
Pais Vasco,Alava,Amurrio,Valdegovia,"Pueblo Acebedo, Vadillo",Rústica,False,Parroquia de San Juan Bautista de Acebedo,True
Pais Vasco,Alava,Amurrio,Valdegovia,"Pueblo Villanueva, Rio Nograro",Rústica,False,Parroquia de San Julián de Villanueva de Valdegobia,True
Pais Vasco,Alava,Amurrio,Valdegovia,"Pueblo Valluerca, Real 12",Iglesia,True,Parroquia de la Asunción de Nuestra Señora de Valluerca,True
Pais Vasco,Alava,Amurrio,Valdegovia,"Pueblo Tobillas, Iglesia 10",Iglesia,True,Parroquia de San Román Mártir de Tobillas,True
Pais Vasco,Alava,Amurrio,Valderejo,"Pueblo La Hoz, Real Manzanal",Iglesia,True,Parroquia de Santiago Apóstol de Lahoz,True
Pais Vasco,Alava,Amurrio,Valderejo,"Pueblo Ribera, Adoradillo",Iglesia,True,Parroquia de San Esteban de Ribera,True
Pais Vasco,Alava,Amurrio,Valderejo,"Pueblo Villamardones, Vienzo",Iglesia,True,Parroquia de la Purísima Concepción de Villamardones,True
Pais Vasco,Alava,Laguardia,Pueblo de Urarte,"Paraje de ""La Toba""",Rústica,False,Parroquia de la Asunción de Urarte,False
Pais Vasco,Alava,Laguardia,Pueblo de Vinaspre,"Paraje de ""El Ardecho""",Rústica,False,Parroquia de la Asunción de Nuestra Señora de Viñaspre,False
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Vivienda piso con anejos,Vivienda piso con anejos,False,Obispado de Vitoria,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,"Vivienda Unifamiliar, Adosado 18",Vivienda unifamiliar,False,Congregación de Clérigos San Viator,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Casa provincial de las Hermanas Carmelitas Misioneras,Edificio Servicios,False,Congregacion de Carmelitas Misioneras,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Vivienda,Vivienda piso con anejos,False,Parroquia de San Pedro Apostol de Vitoria,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Pueblo de Morillas,"Sitio de la Pola, Pueblo de Morillas",Secano,False,Parroquia de la Asunción de Subijana de Morillas,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Colegio de las Ursulinas de Vitoria,Edificio servicios,False,Congregación de Ursulinas,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Nanclares de la Oca,Santa Engracia,Secano,False,Congregación Hermanos de Instrucción Cristiana,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Arminon,El Campete,Secano,False,Congregación religiosa de Carmelitas de la Caridad,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Arrminon,Alto El Arca,Secano,False,Congregación religiosa de Carmelitas de la Caridad,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Sede Central del Obispado de Vitoria,Edificio Servicios (Sede Obispado de Vitoria y Convento),False,Obispado de Vitoria,True
Pais Vasco,Alava,Vitoria-Gasteiz Nº 03,Vitoria,Vivienda piso con anejos,Vivienda piso con anejos,False,Obispado de Vitoria,True
