nombre,provincia,slug_provincia,direccion,telefono,email,horario,registrador,url,fecha_extraccion
Registro de la Propiedad de Azpeitia,Guipúzcoa,gipuzkoa,"Julián Elorza Hiribidea, s/n, 20730",(943) 15 75 05,azpeitia@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Rafael José Stampa Castillo,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/azpeitia/registro-de-la-propiedad-de-azpeitia,2026-01-25 23:51:41
Registro de la Propiedad de Bergara Nº 01,Guipúzcoa,gipuzkoa,"Bolu, s/n., 20570",(943) 76 13 15,bergara1@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Nuria Lander Fernández,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/bergara/registro-de-la-propiedad-de-bergara-n-01,2026-01-25 23:51:41
Registro de la Propiedad de Bergara Nº 03,Guipúzcoa,gipuzkoa,"Bolu, s/n., 20570",(943) 76 13 15,bergara3@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Manuel Martín Moreno-Torres,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/bergara/registro-de-la-propiedad-de-bergara-n-03,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 01,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 3º, 20018",(943) 31 67 01,sansebastian1@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Borja Vicente Oliveri Guilarte,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-01,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 02,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 2º, 20018",(943) 31 34 55,sansebastian2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Francisco Javier Gimeno Chocarro,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-02,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 03,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 1º, 20018",(943) 31 67 03,sansebastian3@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Nerea Madariaga Sarriugarte,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-03,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 04,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 2º, 20018",(943) 31 67 04,sansebastian4@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María del Carmen Prieto Bedoya,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-04,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 05,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 1º, 20018",(943) 31 67 05,sansebastian5@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,M.ª Micaela Curto Eraso,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-05,2026-01-25 23:51:41
Registro de la Propiedad de Donostia/San Sebastián Nº 06,Guipúzcoa,gipuzkoa,"Plaza Julio Caro Baroja, 1 - 2º, 20018",(943) 31 67 06,sansebastian6@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Ines Arribas Del Hoyo,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/donostia-san-sebastian/registro-de-la-propiedad-de-donostiasan-sebastian-n-06,2026-01-25 23:51:41
Registro de la Propiedad de Eibar,Guipúzcoa,gipuzkoa,"Barakaldo, 27 - entreplanta, 20600",(943) 20 23 75,eibar@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Celia Mencía Criado,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/eibar/registro-de-la-propiedad-de-eibar,2026-01-25 23:51:41
